config_id,algorithm,per,noisy,seed,success_rate,mean_reward,mean_steps,invalid_rate,revisit_rate,optimality_ratio,excess_cost,route_risk,route_difficulty,n_solved,n_eval
DQN,DQN,0,0,0,45.0,-27.00622500000002,37.375,0.0,26.25,1.0,0.0,0.4765555555555556,1.3181666666666667,18,40
DQN,DQN,0,0,1,67.5,22.821775000000002,28.05,0.0,15.25,1.0,0.0,0.6852222222222223,1.894111111111111,27,40
DQN,DQN,0,0,2,62.5,9.467000000000008,29.925,0.0,19.475,1.0,0.0,0.62828,1.6343999999999996,25,40
DQN,DQN,0,0,3,62.5,13.041350000000005,28.775,0.0,18.675,1.0,0.0,0.47620000000000007,1.2816800000000002,25,40
DQN,DQN,0,0,4,65.0,2.8984500000000066,33.4,0.0,25.45,1.496219230769231,50.43615384615385,0.9560384615384615,2.4145384615384615,26,40
DQN,DQN,0,0,5,0.0,-124.41927499999997,60.0,0.0,51.4,,,,,0,40
DQN,DQN,0,0,6,17.5,-85.723425,50.9,0.0,42.15,1.0,0.0,0.3772857142857143,1.0191428571428571,7,40
DQN,DQN,0,0,7,70.0,26.942499999999985,26.75,0.0,13.825,1.0,0.0,0.6111785714285715,1.5516785714285712,28,40
DQN,DQN,0,0,8,75.0,37.10425,23.1,0.0,13.4,1.0,0.0,0.5293,1.3662,30,40
DQN,DQN,0,0,9,32.5,-61.448775000000026,48.6,0.0,39.325,5.784723076923077,77.70923076923077,1.078230769230769,2.333846153846154,13,40
DQN+Noisy,DQN,0,1,0,50.0,-16.915875000000018,35.85,0.0,24.95,1.0845099999999999,4.0920000000000005,0.5847000000000001,1.5900500000000002,20,40
DQN+Noisy,DQN,0,1,1,82.5,51.994074999999995,21.875,0.0,9.4,1.0450878787878786,3.4872727272727273,0.7453939393939394,2.0593636363636363,33,40
DQN+Noisy,DQN,0,1,2,30.0,-59.65349999999997,44.175,0.0,37.275,1.1328500000000001,3.3299999999999996,0.3941666666666667,1.0258333333333334,12,40
DQN+Noisy,DQN,0,1,3,57.49999999999999,1.6418250000000143,32.3,0.0,20.6,1.0,0.0,0.5723478260869567,1.4885217391304346,23,40
DQN+Noisy,DQN,0,1,4,67.5,23.481250000000006,27.475,0.0,15.5,1.037988888888889,3.9222222222222225,0.6133333333333333,1.556296296296296,27,40
DQN+Noisy,DQN,0,1,5,80.0,48.517199999999995,22.375,0.0,9.775,1.0460625000000001,4.480625,0.65453125,1.7570625,32,40
DQN+Noisy,DQN,0,1,6,0.0,-121.85810000000001,60.0,0.0,49.275,,,,,0,40
DQN+Noisy,DQN,0,1,7,77.5,39.95292499999998,25.525,0.0,12.05,1.0290451612903226,3.718709677419355,0.7838387096774191,1.9584838709677417,31,40
DQN+Noisy,DQN,0,1,8,60.0,5.5214250000000025,31.325,0.0,19.975,1.0092083333333333,0.43250000000000005,0.6145833333333334,1.5099166666666666,24,40
DQN+Noisy,DQN,0,1,9,45.0,-25.96935000000001,38.425,0.0,27.775,1.0866222222222222,8.19,0.4954444444444444,1.464777777777778,18,40
DQN+PER,DQN,1,0,0,57.49999999999999,-14.962525000000017,37.025,0.0,30.175,1.794913043478261,60.73086956521739,0.9888260869565216,3.0180000000000002,23,40
DQN+PER,DQN,1,0,1,62.5,0.4885749999999994,34.725,0.0,24.15,1.796848,44.333600000000004,0.9841199999999999,2.67524,25,40
DQN+PER,DQN,1,0,2,50.0,-18.75974999999998,34.4,0.0,29.175,1.0625499999999999,6.942,0.44699999999999995,1.1963000000000001,20,40
DQN+PER,DQN,1,0,3,90.0,70.1619,16.5,0.0,4.375,1.0,0.0,0.5660277777777777,1.4921944444444446,36,40
DQN+PER,DQN,1,0,4,55.00000000000001,-8.156874999999987,32.025,0.0,24.975,1.0627045454545454,2.090909090909091,0.4981363636363636,1.1665454545454548,22,40
DQN+PER,DQN,1,0,5,0.0,-123.15944999999995,60.0,0.0,50.3,,,,,0,40
DQN+PER,DQN,1,0,6,15.0,-91.773675,52.375,0.0,43.3,1.0,0.0,0.42783333333333334,1.1718333333333335,6,40
DQN+PER,DQN,1,0,7,20.0,-85.43270000000003,48.8,0.0,46.15,1.0,0.0,0.22012500000000002,0.47437500000000005,8,40
DQN+PER,DQN,1,0,8,35.0,-49.44647500000001,43.9,0.0,34.025,1.2825142857142855,25.351428571428574,0.6875714285714285,1.752214285714286,14,40
DQN+PER,DQN,1,0,9,27.500000000000004,-63.78025,46.125,0.0,36.8,1.0,0.0,0.4395454545454545,1.2577272727272726,11,40
DQN+PER+Noisy,DQN,1,1,0,60.0,-0.9154500000000013,34.275,0.0,24.075,1.4126916666666667,32.919999999999995,0.8499583333333334,2.1610416666666667,24,40
DQN+PER+Noisy,DQN,1,1,1,47.5,-24.45722499999997,36.45,0.0,29.625,1.0,0.0,0.5553684210526315,1.557842105263158,19,40
DQN+PER+Noisy,DQN,1,1,2,25.0,-68.99942499999997,47.5,0.0,37.5,1.0425499999999999,2.327,0.5701,1.3580999999999999,10,40
DQN+PER+Noisy,DQN,1,1,3,32.5,-60.97895000000002,45.85,0.0,39.75,1.673676923076923,42.9476923076923,0.8283846153846155,2.240307692307692,13,40
DQN+PER+Noisy,DQN,1,1,4,47.5,-20.90907499999998,36.95,0.0,28.25,1.1936526315789475,14.084736842105263,0.5740526315789474,1.5281578947368422,19,40
DQN+PER+Noisy,DQN,1,1,5,52.5,-12.888574999999994,35.7,0.0,25.475,1.1253,9.338095238095239,0.673952380952381,1.8163333333333334,21,40
DQN+PER+Noisy,DQN,1,1,6,0.0,-121.83042500000002,60.0,0.0,48.275,,,,,0,40
DQN+PER+Noisy,DQN,1,1,7,45.0,-31.606975000000013,40.85,0.0,30.375,1.5035611111111111,21.172222222222224,0.7460555555555555,2.184722222222222,18,40
DQN+PER+Noisy,DQN,1,1,8,80.0,49.978275000000004,21.7,0.0,9.575,1.0,0.0,0.61321875,1.4842187500000001,32,40
DQN+PER+Noisy,DQN,1,1,9,67.5,19.952099999999994,29.025,0.0,18.025,1.1078666666666666,11.422592592592594,0.5928518518518517,1.783074074074074,27,40
DoubleDQN,DoubleDQN,0,0,0,30.0,-60.88330000000002,45.1,0.0,35.9,1.0,0.0,0.5025000000000001,1.4041666666666668,12,40
DoubleDQN,DoubleDQN,0,0,1,87.5,50.51344999999999,25.675,0.0,13.75,1.5094942857142857,47.500571428571426,0.922257142857143,3.031085714285714,35,40
DoubleDQN,DoubleDQN,0,0,2,85.0,57.203125,20.0,0.0,8.55,1.0,0.0,0.6867941176470588,1.7833529411764706,34,40
DoubleDQN,DoubleDQN,0,0,3,52.5,-12.970524999999999,33.625,0.0,26.675,1.0,0.0,0.4741904761904762,1.2783333333333333,21,40
DoubleDQN,DoubleDQN,0,0,4,25.0,-74.70757499999998,50.05,0.0,40.05,2.03173,52.717999999999996,0.8401,2.7394,10,40
DoubleDQN,DoubleDQN,0,0,5,35.0,-48.43704999999998,42.725,0.0,32.25,1.0,0.0,0.5180714285714286,1.4160714285714284,14,40
DoubleDQN,DoubleDQN,0,0,6,0.0,-124.93474999999998,60.0,0.0,52.8,,,,,0,40
DoubleDQN,DoubleDQN,0,0,7,52.5,-8.487800000000004,34.65,0.0,21.8,1.0,0.0,0.5751428571428572,1.4439523809523809,21,40
DoubleDQN,DoubleDQN,0,0,8,35.0,-48.26052500000001,42.725,0.0,32.55,1.0,0.0,0.5242857142857142,1.3817857142857144,14,40
DoubleDQN,DoubleDQN,0,0,9,30.0,-59.41775,44.075,0.0,37.45,1.0,0.0,0.2725,0.8134166666666666,12,40
DoubleDQN+Noisy,DoubleDQN,0,1,0,55.00000000000001,-7.136775000000003,33.75,0.0,22.325,1.4238954545454545,24.104999999999997,0.604090909090909,1.5805454545454545,22,40
DoubleDQN+Noisy,DoubleDQN,0,1,1,75.0,36.10625,24.75,0.0,12.375,1.02709,1.725,0.6985,1.9414333333333333,30,40
DoubleDQN+Noisy,DoubleDQN,0,1,2,70.0,26.485925,26.275,0.0,15.45,1.0706142857142857,5.8496428571428565,0.6194285714285714,1.660607142857143,28,40
DoubleDQN+Noisy,DoubleDQN,0,1,3,57.49999999999999,0.6394999999999982,32.55,0.0,20.8,1.0316782608695652,2.199130434782609,0.5953913043478262,1.545826086956522,23,40
DoubleDQN+Noisy,DoubleDQN,0,1,4,67.5,21.63245,29.025,0.0,16.725,1.242233333333333,15.03037037037037,0.6988148148148149,1.908074074074074,27,40
DoubleDQN+Noisy,DoubleDQN,0,1,5,10.0,-102.436625,55.075,0.0,44.625,1.301225,13.7575,0.61675,1.5675000000000001,4,40
DoubleDQN+Noisy,DoubleDQN,0,1,6,0.0,-121.63255,60.0,0.0,48.75,,,,,0,40
DoubleDQN+Noisy,DoubleDQN,0,1,7,57.49999999999999,0.18529999999999092,34.075,0.0,21.275,1.0966565217391306,10.002173913043478,0.7026086956521739,1.9054782608695653,23,40
DoubleDQN+Noisy,DoubleDQN,0,1,8,15.0,-91.23910000000001,51.925,0.0,43.125,1.3705333333333334,5.19,0.335,0.711,6,40
DoubleDQN+Noisy,DoubleDQN,0,1,9,37.5,-44.198375,42.675,0.0,32.8,1.2887266666666666,20.860000000000003,0.5916,1.5151333333333339,15,40
DoubleDQN+PER,DoubleDQN,1,0,0,30.0,-83.12157500000004,47.75,0.0,41.55,1.49395,56.57749999999999,0.9500833333333333,2.6946666666666665,12,40
DoubleDQN+PER,DoubleDQN,1,0,1,55.00000000000001,-9.707624999999975,34.875,0.0,25.05,1.7459954545454546,21.584545454545452,0.7831818181818181,2.1438181818181814,22,40
DoubleDQN+PER,DoubleDQN,1,0,2,60.0,2.5653750000000057,30.375,0.0,21.4,1.9766916666666667,37.07666666666667,0.5047916666666666,1.5758333333333334,24,40
DoubleDQN+PER,DoubleDQN,1,0,3,55.00000000000001,-8.118124999999987,32.725,0.0,26.075,1.0,0.0,0.504909090909091,1.3658636363636363,22,40
DoubleDQN+PER,DoubleDQN,1,0,4,70.0,21.925975000000015,26.375,0.0,19.375,1.1692178571428573,17.29357142857143,0.58775,1.4524642857142855,28,40
DoubleDQN+PER,DoubleDQN,1,0,5,52.5,-11.837374999999993,33.3,0.0,26.025,1.0,0.0,0.4474761904761906,1.2436666666666665,21,40
DoubleDQN+PER,DoubleDQN,1,0,6,25.0,-79.90855000000003,51.275,0.0,44.425,2.92598,92.18300000000002,1.3348,2.9728,10,40
DoubleDQN+PER,DoubleDQN,1,0,7,25.0,-72.57027500000001,46.8,0.0,40.975,1.30161,4.4159999999999995,0.36330000000000007,0.8701000000000001,10,40
DoubleDQN+PER,DoubleDQN,1,0,8,65.0,14.740725000000007,28.95,0.0,18.475,1.0,0.0,0.618423076923077,1.4970384615384613,26,40
DoubleDQN+PER,DoubleDQN,1,0,9,65.0,16.967524999999977,27.15,0.0,16.525,0.9991192307692308,-0.1053846153846154,0.42126923076923073,1.1978076923076924,26,40
DoubleDQN+PER+Noisy,DoubleDQN,1,1,0,45.0,-27.172750000000008,37.425,0.0,28.925,1.010788888888889,0.6644444444444445,0.49205555555555563,1.3388333333333335,18,40
DoubleDQN+PER+Noisy,DoubleDQN,1,1,1,65.0,13.12862500000001,29.975,0.0,18.825,1.0609076923076923,5.458076923076923,0.7368076923076923,2.0467692307692307,26,40
DoubleDQN+PER+Noisy,DoubleDQN,1,1,2,10.0,-100.62819999999998,54.475,0.0,46.125,1.0,0.0,0.28850000000000003,0.6835000000000001,4,40
DoubleDQN+PER+Noisy,DoubleDQN,1,1,3,45.0,-28.423375000000004,37.925,0.0,30.05,1.0,0.0,0.5163333333333333,1.3640555555555556,18,40
DoubleDQN+PER+Noisy,DoubleDQN,1,1,4,57.49999999999999,-0.703999999999996,32.025,0.0,23.725,1.1024739130434782,9.51478260869565,0.5726956521739132,1.4632608695652174,23,40
DoubleDQN+PER+Noisy,DoubleDQN,1,1,5,67.5,14.681575,30.05,0.0,19.65,1.292514814814815,23.11074074074074,0.7598148148148148,2.0439259259259264,27,40
DoubleDQN+PER+Noisy,DoubleDQN,1,1,6,20.0,-82.89205,50.175,0.0,41.075,1.2245125,5.772500000000001,0.5643750000000001,1.366,8,40
DoubleDQN+PER+Noisy,DoubleDQN,1,1,7,52.5,-14.726525000000024,37.075,0.0,25.3,1.2015571428571428,20.500952380952384,0.7441428571428572,2.0709047619047616,21,40
DoubleDQN+PER+Noisy,DoubleDQN,1,1,8,25.0,-68.957525,47.2,0.0,37.9,1.0,0.0,0.4481,1.1157,10,40
DoubleDQN+PER+Noisy,DoubleDQN,1,1,9,60.0,7.117349999999986,31.375,0.0,19.95,1.0727833333333334,7.305416666666667,0.5329166666666666,1.569875,24,40
DuelingDQN,DuelingDQN,0,0,0,37.5,-40.49087500000002,42.1,0.0,31.15,1.0,0.0,0.6178666666666667,1.7020666666666668,15,40
DuelingDQN,DuelingDQN,0,0,1,15.0,-94.4182,52.275,0.0,46.425,1.5002333333333333,16.475,0.43883333333333335,1.2031666666666667,6,40
DuelingDQN,DuelingDQN,0,0,2,27.500000000000004,-66.86359999999999,45.4,0.0,40.225,1.0,0.0,0.3905454545454545,0.9328181818181818,11,40
DuelingDQN,DuelingDQN,0,0,3,62.5,13.033849999999996,30.225,0.0,17.7,1.0698239999999999,3.9960000000000004,0.60496,1.5934400000000002,25,40
