config_id,algorithm,per,noisy,n_seeds,success_rate_mean,success_rate_sd,success_rate_sem,success_rate_ci95_lo,success_rate_ci95_hi,success_rate_ci95_hw,success_rate_boot_lo,success_rate_boot_hi,mean_reward_mean,mean_reward_sd,mean_reward_sem,mean_reward_ci95_lo,mean_reward_ci95_hi,mean_reward_ci95_hw,mean_reward_boot_lo,mean_reward_boot_hi,mean_steps_mean,mean_steps_sd,mean_steps_sem,mean_steps_ci95_lo,mean_steps_ci95_hi,mean_steps_ci95_hw,mean_steps_boot_lo,mean_steps_boot_hi,invalid_rate_mean,invalid_rate_sd,invalid_rate_sem,invalid_rate_ci95_lo,invalid_rate_ci95_hi,invalid_rate_ci95_hw,invalid_rate_boot_lo,invalid_rate_boot_hi,revisit_rate_mean,revisit_rate_sd,revisit_rate_sem,revisit_rate_ci95_lo,revisit_rate_ci95_hi,revisit_rate_ci95_hw,revisit_rate_boot_lo,revisit_rate_boot_hi,optimality_ratio_mean,optimality_ratio_sd,optimality_ratio_sem,optimality_ratio_ci95_lo,optimality_ratio_ci95_hi,optimality_ratio_ci95_hw,optimality_ratio_boot_lo,optimality_ratio_boot_hi,excess_cost_mean,excess_cost_sd,excess_cost_sem,excess_cost_ci95_lo,excess_cost_ci95_hi,excess_cost_ci95_hw,excess_cost_boot_lo,excess_cost_boot_hi,route_risk_mean,route_risk_sd,route_risk_sem,route_risk_ci95_lo,route_risk_ci95_hi,route_risk_ci95_hw,route_risk_boot_lo,route_risk_boot_hi,route_difficulty_mean,route_difficulty_sd,route_difficulty_sem,route_difficulty_ci95_lo,route_difficulty_ci95_hi,route_difficulty_ci95_hw,route_difficulty_boot_lo,route_difficulty_boot_hi
DQN,DQN,0,0,10,49.75,25.2886118418724,7.996961228422261,31.659616876058063,67.84038312394193,18.090383123941937,34.243750000000006,63.5,-18.632237499999995,54.522070943927076,17.241392693209608,-57.63497747852444,20.37050247852445,39.002739978524446,-52.65528006249999,10.982769624999998,36.68750000000001,12.315190766330465,3.8944052641078732,27.877743236741672,45.49725676325834,8.809756763258335,29.972375000000003,44.3904375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.52,13.333264583156087,4.216348472842875,16.981957101069547,36.05804289893045,9.538042898930453,19.0749375,35.01781249999999,1.5867713675213677,1.5827627233787835,0.5275875744595945,0.37015223913520723,2.803390495907528,1.2166191283861605,1.0,2.6500431623931626,14.238376068376068,29.064471404013872,9.688157134671291,-8.102554346683673,36.57930648343581,22.34093041505974,0.0,34.08076923076923,0.6464768104734772,0.23167322608383656,0.07722440869461218,0.4683970046850049,0.8245566162619494,0.17807980578847224,0.5148517283950619,0.7989613191561525,1.6459737579704248,0.4803404498070958,0.16011348326903194,1.2767514034500942,2.0151961124907554,0.36922235452033064,1.361718792022792,1.9551205835368333
DQN+Noisy,DQN,0,1,10,55.0,25.495097567963924,8.06225774829855,36.76190588591048,73.23809411408952,18.238094114089524,38.75,69.25,-5.328812500000001,54.08082193411138,17.101857504578447,-44.015901952092264,33.35827695209227,38.687089452092266,-39.23029474999999,24.261268562499993,33.9325,11.590663448080385,3.6652896088394797,25.641038857429066,42.22396114257093,8.29146114257093,27.829875,41.2901875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6575,12.782388328825286,4.042146105584123,13.513530233950073,31.801469766049927,9.143969766049926,15.8125,30.740062499999997,1.0523749982802941,0.04203041930402954,0.014010139768009846,1.0200675580404746,1.0846824385201128,0.03230744023981904,1.0280643192679484,1.0794096349607183,3.5170366252127008,2.3775065965377333,0.7925021988459111,1.689523277515635,5.344549972909765,1.8275133476970649,2.122017443815394,4.9721746179311035,0.6064821669928993,0.11843773102048337,0.03947924367349446,0.5154428678270881,0.6975214661587104,0.09103929916581112,0.5342948201825014,0.6767694324084699,1.6011450911706542,0.3030442006254168,0.10101473354180561,1.3682046979067035,1.8340854844346048,0.2329403932639507,1.411116276289465,1.7844891833288605
DQN+PER,DQN,1,0,10,41.25,26.725196184707627,8.451249085851813,22.13194634537616,60.368053654623836,19.11805365462384,26.0,57.5,-38.4821225,55.93529132139164,17.6882922160647,-78.49581943522716,1.5315744352271636,40.013696935227166,-70.83825462499999,-4.64992368750001,40.5875,12.309623888558813,3.8926448627864545,31.78172554120041,49.39327445879959,8.80577445879959,33.230000000000004,47.43543749999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3425,13.225375703548083,4.182231013466376,22.881636156176477,41.803363843823526,9.460863843823523,23.997374999999995,39.6675,1.222169986071899,0.33731970027492003,0.11243990009164001,0.962883111498634,1.4814568606451641,0.2592868745732651,1.034801515151515,1.4492305147123408,15.494311914172787,22.880945913857698,7.6269819712858995,-2.0935400507401205,33.082163879085684,17.587851964912904,2.5463232323232323,30.811979547023025,0.584353938313431,0.25952620589555525,0.08650873529851842,0.38486443698376505,0.7838434396430971,0.19948950132966606,0.43145125861792527,0.7444874575604212,1.5782699767516437,0.79966962138046,0.26655654046015337,0.9635894921848135,2.192950461318474,0.6146804845668302,1.1190560205226874,2.090304718494468
DQN+PER+Noisy,DQN,1,1,10,45.75,22.60930241196211,7.149689192933883,29.576279380024072,61.923720619975924,16.173720619975928,31.5,58.0,-27.2655725,48.28745504546683,15.269834035666463,-61.808336939376204,7.2771919393762055,34.54276443937621,-56.75317518749999,0.08147824999999728,38.83,10.57259166167144,3.343347042178608,31.266823540628593,46.393176459371404,7.563176459371404,32.8598125,45.330187499999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.092499999999994,11.038109804470851,3.490556804516373,21.196311922314166,36.98868807768582,7.896188077685829,22.6523125,35.62774999999999,1.228810999900035,0.2432040526913315,0.08106801756377717,1.0418678161651609,1.415754183634909,0.1869431837348741,1.090457128411306,1.3849353990478332,14.912482133634178,14.985513600779548,4.99517120025985,3.3935966897822087,26.43136757748615,11.51888544385197,6.251127726724218,24.982739481598106,0.6671047266343684,0.1143992826764487,0.038133094225482896,0.5791696536622748,0.7550397996064622,0.08793507297209366,0.6014537064110893,0.7407613088209305,1.7904219709559988,0.33531566065763696,0.11177188688587898,1.5326755375975896,2.048168404314408,0.2577464333584092,1.5892827601589443,1.9924772228027483
DoubleDQN,DoubleDQN,0,0,10,43.25,27.00437207400148,8.539532253648972,23.93223594498437,62.56776405501563,19.31776405501563,28.5,59.75,-33.03827,56.02697306975205,17.71728453053323,-73.11755210706988,7.041012107069882,40.07928210706988,-64.841112875,0.7392587499999996,39.862500000000004,11.70350879247568,3.7009744400030047,31.49031416100727,48.23468583899274,8.372185838992737,33.0246875,46.61518749999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1775,13.016509015263825,4.11618156723491,20.866050384071535,39.48894961592846,9.311449615928463,22.48,37.665,1.171247142857143,0.3640262635863136,0.12134208786210454,0.8914317864728226,1.4510624992414631,0.2798153563843203,1.0,1.4005204761904764,11.135396825396825,22.134583370568826,7.378194456856275,-5.878750102454198,28.149543753247848,17.014146927851023,0.0,26.968920634920632,0.5906490818549642,0.19808372461503956,0.06602790820501318,0.43838845249532277,0.7429097112146057,0.15226062935964146,0.4717306878306879,0.7168835830999066,1.6990627606598194,0.72092541571402,0.24030847190467333,1.1449104307230487,2.2532150905965906,0.5541523299367709,1.2998237200435727,2.1886129590725174
DoubleDQN+Noisy,DoubleDQN,0,1,10,44.5,27.177400742365172,8.59424872290249,25.058458692136437,63.94154130786356,19.441541307863563,28.0,59.5,-28.159400000000005,57.889546415427105,18.30628193867856,-69.57108681280833,13.252286812808322,41.41168681280833,-63.352078312500005,4.565975,39.010000000000005,12.639775182599834,3.997047868948615,29.96804953298718,48.05195046701283,9.041950467012823,32.05918749999999,46.80031249999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.825,13.401875905177521,4.238045277929175,18.237875518032524,37.412124481967474,9.587124481967475,20.17725,35.885374999999996,1.2058503173557522,0.15184529396594001,0.05061509798864667,1.089131692090169,1.3225689426213354,0.11671862526558327,1.1135038669615407,1.2988103886693017,10.968757508371034,8.043307757349982,2.6811025857833273,4.7861238586481,17.15139115809397,6.182633649722934,6.177746721877157,16.06309817754262,0.6069093661482551,0.11211438103882473,0.037371460346274914,0.5207306240511265,0.6930881082453835,0.08617874209712846,0.5270606007858665,0.6652725272044111,1.5928441873299362,0.37247627311457443,0.12415875770485814,1.306533578640721,1.8791547960191513,0.28631060868921504,1.3329144787709157,1.7879251099097715
DoubleDQN+PER,DoubleDQN,1,0,10,50.25,17.177585524294283,5.432029495910754,37.96189556699075,62.53810443300925,12.288104433009256,39.75,59.75,-20.906392500000003,41.476935657473234,13.116158704186887,-50.57720486180751,8.764419861807504,29.670812361807506,-46.25418556250002,2.2566453125000026,35.957499999999996,9.186932522157036,2.9051631480291538,29.385564375426082,42.52943562457391,6.571935624573914,30.817437500000008,41.697624999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9875,10.426423763688105,3.2971246943359604,20.528885755884776,35.44611424411523,7.458614244115226,22.2275,34.487624999999994,1.4612564209124208,0.6196639398845945,0.19595494339089745,1.0179755421240326,1.904537299700809,0.4432808787883882,1.1385160399600402,1.876615622835498,22.902589893439895,30.934670131390988,9.782401628117574,0.773259980478123,45.03191980640167,22.129329912961772,6.530148076923076,42.909240337162835,0.6515984407259408,0.29800306453855435,0.09423684336519861,0.4384198905025969,0.8647769909492846,0.21317855022334384,0.4989396890817517,0.8450485989219113,1.7014058924408926,0.6819122990636058,0.21563960295228995,1.2135952200273559,2.189216564854429,0.4878106724135367,1.3295507704378953,2.130497179487179
DoubleDQN+PER+Noisy,DoubleDQN,1,1,10,44.75,19.98089365146392,6.318513362422454,30.456529738606704,59.043470261393296,14.293470261393294,32.493750000000006,56.0,-28.857687500000004,41.669045822094176,13.176909272374095,-58.66592719477966,0.9505521947796538,29.808239694779658,-54.27920499999999,-5.209724125000003,38.769999999999996,8.861611967732884,2.802287755864245,32.43078468069336,45.109215319306635,6.339215319306642,33.9374375,44.120125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.152499999999996,9.623628690190966,3.043258601674637,22.268170755804366,36.03682924419563,6.88432924419563,23.790000000000003,35.015125,1.096553828524535,0.10697564983725952,0.03382867076623609,1.020028058640861,1.1730795984082092,0.07652576988367403,1.039252049424006,1.1623222321290325,7.232691376457682,8.424377245518471,2.6640219964333887,1.2062549352250143,13.259127817690349,6.026436441232668,2.721701230955035,12.539339822943761,0.5655741571994833,0.14849456117714918,0.04695810334670055,0.4593475473597016,0.6718007670392651,0.1062266098397817,0.4783546369766506,0.6526314968380049,1.5062824677054025,0.4476298276628243,0.14155298040431707,1.1860673791604306,1.8264975562503745,0.3202150885449718,1.2401330717592594,1.766249535441109
DuelingDQN,DuelingDQN,0,0,10,40.25,16.475992635751368,5.210166344113528,28.463784885002227,52.03621511499777,11.786215114997773,31.0,50.5,-38.23354500000001,34.890365346851524,11.033302289146153,-63.19260880332651,-13.274481196673506,24.9590638033265,-58.1189616875,-16.468415937500016,40.37,6.889200485784496,2.178556479261746,35.44176285575583,45.29823714424416,4.928237144244166,36.2525,44.332562499999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.580000000000002,8.84528907887633,2.797126005186196,25.252461371962575,37.90753862803743,6.327538628037425,26.357499999999998,36.70281249999999,1.0741660781609195,0.15970474518666136,0.05050307479266627,0.9599201857725331,1.1884119705493057,0.1142458923883863,1.0,1.1811951448275861,2.98158275862069,5.635414666305418,1.7820745905042863,-1.049750041028867,7.012915558270247,4.031332799649557,0.0,6.719513793103448,0.5167556000745367,0.15977858798065434,0.05052642593444711,0.40245688373351,0.6310543164155633,0.11429871634102666,0.429091164372882,0.6127184316834028,1.3728714618822688,0.4238648307103139,0.13403782850862775,1.0696568280280672,1.6760860957364705,0.30321463385420167,1.135700736108989,1.6353977672740032
DuelingDQN+Noisy,DuelingDQN,0,1,10,54.5,30.454884665682123,9.630680142129112,32.71388793332589,76.28611206667411,21.786112066674107,35.25,70.5,-6.272904999999998,64.40320172600202,20.36608060614538,-52.344180122455725,39.79837012245574,46.07127512245573,-46.374976624999995,27.777238124999986,34.405,14.016378316494997,4.43236800267206,24.378286974350083,44.43171302564992,10.026713025649919,27.125,43.2925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6375,14.792740571344822,4.677875304143016,12.055410873794578,33.21958912620542,10.582089126205421,14.84,31.945,1.094796905371826,0.1623060902256139,0.0573838685132036,0.9591056182352933,1.2304881925083588,0.1356912871365328,1.0117006497695853,1.2086213997695852,6.830351706509217,10.549572697808696,3.7298371966204944,-1.9893117831124503,15.650015196130882,8.819663489621666,1.0116071428571427,14.504583266129027,0.6456754249197438,0.13384942444111744,0.047322917840115275,0.5337745057388744,0.7575763441006133,0.11190091918086945,0.5620954533410137,0.7365045706125191,1.7048758117068512,0.2797091788022803,0.09889212854560644,1.471033086256279,1.9387185371574234,0.23384272545057208,1.5293036970413167,1.8902428212189892
