config_id,algorithm,per,noisy,seed,env_seed,phase,episode,reward,success,steps,invalid,revisit,route_cost,optimal_cost,excess_cost,optimality_ratio,route_risk,route_difficulty,route_distance,lane,goal_lane,start,goal,terminated,truncated
DQN,DQN,0,0,0,42,train,1,-209.65699999999993,0,60,21,29,336.57,120.27,,,2.996,4.925,2127.94,L08,L02,L08_WP005,L02_WP022,0,1
DQN,DQN,0,0,0,42,train,2,-208.285,0,60,22,32,242.85,83.57,,,2.81,5.261,1468,L02,L01,L02_WP013,L01_WP006,0,1
DQN,DQN,0,0,0,42,train,3,-214.4859999999999,0,60,24,26,264.86,85.44,,,2.359,4.583,1622.3,L08,L08,L08_WP005,L08_WP020,0,1
DQN,DQN,0,0,0,42,train,4,-203.79899999999998,0,60,21,35,217.99,82.29,,,1.723,4.249,1326.99,L08,L02,L08_WP012,L02_WP022,0,1
DQN,DQN,0,0,0,42,train,5,-212.106,0,60,24,24,261.06,6.79,,,2.17,4.494,1630.61,L08,L08,L08_WP019,L08_WP020,0,1
DQN,DQN,0,0,0,42,train,6,-189.16000000000008,0,60,18,29,281.6,126.86,,,2.854,5.453,1743.22,L02,L01,L02_WP005,L01_WP006,0,1
DQN,DQN,0,0,0,42,train,7,-180.82000000000005,0,60,16,32,268.2,73.33,,,2.207,4.805,1696.43,L08,L08,L08_WP007,L08_WP020,0,1
DQN,DQN,0,0,0,42,train,8,83.46699999999998,1,9,1,3,67.33,47.01,20.32,1.4322,0.389,0.981,420.84,L02,L08,L02_WP020,L08_WP020,1,0
DQN,DQN,0,0,0,42,train,9,-187.05900000000005,0,60,17,37,230.59,87.1,,,1.816,4.331,1462.5,L08,L02,L08_WP011,L02_WP022,0,1
DQN,DQN,0,0,0,42,train,10,-161.84500000000003,0,60,10,43,268.45,63.27,,,2.245,5.149,1699.59,L08,L08,L08_WP009,L08_WP020,0,1
DQN,DQN,0,0,0,42,train,11,94.602,1,6,0,1,31.98,22.7,9.28,1.4088,0.255,0.708,187.3,L02,L02,L02_WP018,L02_WP022,1,0
DQN,DQN,0,0,0,42,train,12,-178.86499999999995,0,60,15,38,238.65,101.07,,,2.182,5.924,1380.62,L02,L01,L02_WP010,L01_WP006,0,1
DQN,DQN,0,0,0,42,train,13,-161.93599999999998,0,60,11,39,259.36,124.68,,,2.284,6.481,1499.59,L02,L08,L02_WP006,L08_WP020,0,1
