metric,algo_a,algo_b,n,mean_x,mean_y,mean_diff,t_stat,t_p,wilcoxon_stat,wilcoxon_p,cohens_dz,rank_biserial,cliffs_delta,wilcoxon_p_holm,wilcoxon_p_bh,t_p_holm,t_p_bh,sig_holm_0.05,effect_dz_mag,effect_cliff_mag
success_rate,DQN,DoubleDQN,10,49.75,43.25,6.5,0.8060535595603843,0.44098911196328694,21.0,0.556640625,0.2548965164297005,0.23636363636363636,0.19,1.0,0.834375,1.0,0.7970915673791991,False,small,small
success_rate,DQN,DuelingDQN,10,49.75,40.25,9.5,1.1127380534563183,0.2946575690097686,10.0,0.2620327985527309,0.35187866880641633,0.4444444444444444,0.31,1.0,0.834375,1.0,0.7970915673791991,False,small,small
success_rate,DQN,DuelingDoubleDQN,10,49.75,45.5,4.250000000000002,0.5430142979989678,0.6003077316116145,21.5,0.625,0.17171619837141514,0.21818181818181817,0.1,1.0,0.834375,1.0,0.7970915673791991,False,negligible,negligible
success_rate,DoubleDQN,DuelingDQN,10,43.25,40.25,3.0,0.26484911372663483,0.797091567379199,23.5,0.6953125,0.08375264356531316,-0.14545454545454545,-0.04,1.0,0.834375,1.0,0.7970915673791991,False,negligible,negligible
success_rate,DoubleDQN,DuelingDoubleDQN,10,43.25,45.5,-2.2499999999999987,-0.2795414526191905,0.786147344783116,27.0,1.0,-0.08839876907086835,-0.01818181818181818,-0.04,1.0,1.0,1.0,0.7970915673791991,False,negligible,negligible
success_rate,DuelingDQN,DuelingDoubleDQN,10,40.25,45.5,-5.249999999999998,-0.514581560493987,0.6192429053617354,21.0,0.556640625,-0.16272497730847185,-0.23636363636363636,-0.1,1.0,0.834375,1.0,0.7970915673791991,False,negligible,negligible
mean_reward,DQN,DoubleDQN,10,-18.632237500000002,-33.03827,14.406032499999998,0.8700427287469799,0.4068831149290101,19.0,0.431640625,0.27513166845085113,0.3090909090909091,0.16,1.0,0.921875,1.0,0.8817750854850468,False,small,small
mean_reward,DQN,DuelingDQN,10,-18.632237500000002,-38.23354500000001,19.601307500000004,1.0559420484424897,0.31851435318592713,16.0,0.275390625,0.3339181950222122,0.41818181818181815,0.3,1.0,0.921875,1.0,0.8817750854850468,False,small,small
mean_reward,DQN,DuelingDoubleDQN,10,-18.632237500000002,-30.311252499999995,11.679014999999996,0.6548710531649222,0.5289304888680918,21.0,0.556640625,0.20708841017143725,0.23636363636363636,0.1,1.0,0.921875,1.0,0.8817750854850468,False,small,negligible
mean_reward,DoubleDQN,DuelingDQN,10,-33.03827,-38.23354500000001,5.195275000000008,0.21929164770379755,0.8313154839626308,24.0,0.76953125,0.06934610785952336,-0.12727272727272726,-0.06,1.0,0.921875,1.0,0.8817750854850468,False,negligible,negligible
mean_reward,DoubleDQN,DuelingDoubleDQN,10,-33.03827,-30.311252499999995,-2.7270175000000023,-0.1529981269223959,0.8817750854850468,26.0,0.921875,-0.048382255881429886,0.05454545454545454,-0.02,1.0,0.921875,1.0,0.8817750854850468,False,negligible,negligible
mean_reward,DuelingDQN,DuelingDoubleDQN,10,-38.23354500000001,-30.311252499999995,-7.922292500000009,-0.35652719950642403,0.7296612971644321,22.0,0.625,-0.11274379982415596,-0.2,-0.14,1.0,0.921875,1.0,0.8817750854850468,False,negligible,negligible
optimality_ratio,DQN,DoubleDQN,8,1.6601177884615386,1.1926530357142857,0.4674647527472528,0.7510963315450431,0.4770805192384334,3.0,1.0,0.2655526546799197,0.0,0.0,1.0,1.0,1.0,0.5740937923741736,False,small,negligible
optimality_ratio,DQN,DuelingDQN,9,1.5867713675213677,1.0824067535121327,0.5043646140092348,0.9309163014644342,0.37913243806013264,7.0,0.892738400944348,0.31030543382147807,0.06666666666666667,-0.06172839506172839,1.0,1.0,1.0,0.5740937923741736,False,small,negligible
optimality_ratio,DQN,DuelingDoubleDQN,9,1.5867713675213677,2.043518160437325,-0.45674679291595766,-0.5507932514856849,0.5968166718363461,8.0,0.6001794871405538,-0.1835977504952283,-0.23809523809523808,-0.19753086419753085,1.0,1.0,1.0,0.5968166718363461,False,negligible,small
optimality_ratio,DoubleDQN,DuelingDQN,9,1.171247142857143,1.0824067535121327,0.08884038934501004,0.7435556665785519,0.4784114936451447,5.0,1.0,0.2478518888595173,0.0,-0.037037037037037035,1.0,1.0,1.0,0.5740937923741736,False,small,negligible
optimality_ratio,DoubleDQN,DuelingDoubleDQN,9,1.171247142857143,2.043518160437325,-0.8722710175801822,-1.5526010499948015,0.15912101868816994,5.0,0.24886387493792206,-0.5175336833316005,-0.5238095238095238,-0.2716049382716049,1.0,0.7465916248137662,0.7956050934408497,0.4773630560645098,False,medium,small
optimality_ratio,DuelingDQN,DuelingDoubleDQN,10,1.0741660781609195,1.9391663443935925,-0.8650002662326731,-1.8478723448698173,0.0976810758178957,2.0,0.13801073756865956,-0.5843485435024783,-0.7333333333333333,-0.2,0.8280644254119573,0.7465916248137662,0.5860864549073742,0.4773630560645098,False,medium,small
mean_steps,DQN,DoubleDQN,10,36.68750000000001,39.862500000000004,-3.1750000000000007,-0.8648296209925544,0.40959107552950524,19.0,0.431640625,-0.27348313903166416,-0.3090909090909091,-0.17,1.0,0.921875,1.0,0.9817136196739055,False,small,small
mean_steps,DQN,DuelingDQN,10,36.68750000000001,40.37,-3.6824999999999997,-0.9253038913836992,0.3789503730454731,18.0,0.375,-0.29260678245895405,-0.34545454545454546,-0.32,1.0,0.921875,1.0,0.9817136196739055,False,small,small
mean_steps,DQN,DuelingDoubleDQN,10,36.68750000000001,39.96249999999999,-3.2749999999999986,-0.685354737278044,0.5103852635797563,22.0,0.625,-0.21672819749849273,-0.2,-0.1,1.0,0.921875,1.0,0.9817136196739055,False,small,negligible
mean_steps,DoubleDQN,DuelingDQN,10,39.862500000000004,40.37,-0.5074999999999985,-0.10640906244652715,0.9175919051201906,24.0,0.76953125,-0.03364950010141148,0.12727272727272726,0.06,1.0,0.921875,1.0,0.9817136196739055,False,negligible,negligible
mean_steps,DoubleDQN,DuelingDoubleDQN,10,39.862500000000004,39.96249999999999,-0.09999999999999858,-0.023565226232596444,0.9817136196739054,26.0,0.921875,-0.00745197884721536,-0.05454545454545454,-0.04,1.0,0.921875,1.0,0.9817136196739055,False,negligible,negligible
mean_steps,DuelingDQN,DuelingDoubleDQN,10,40.37,39.96249999999999,0.4074999999999999,0.07902959629067607,0.938738364674815,26.0,0.921875,0.024991352684213076,0.05454545454545454,-0.08,1.0,0.921875,1.0,0.9817136196739055,False,negligible,negligible
revisit_rate,DQN,DoubleDQN,10,26.52,30.1775,-3.6574999999999998,-0.9728483931537953,0.35604813434693994,19.5,0.431640625,-0.3076416740400951,-0.2909090909090909,-0.18,1.0,0.845703125,1.0,0.9192379098107586,False,small,small
revisit_rate,DQN,DuelingDQN,10,26.52,31.580000000000002,-5.06,-1.0518560318404588,0.3202865288006208,18.0,0.375,-0.3326260831202443,-0.34545454545454546,-0.3,1.0,0.845703125,1.0,0.9192379098107586,False,small,small
revisit_rate,DQN,DuelingDoubleDQN,10,26.52,30.222500000000004,-3.7025000000000006,-0.7725072476341182,0.4596189549053793,20.0,0.4921875,-0.2442882411511534,-0.2727272727272727,-0.14,1.0,0.845703125,1.0,0.9192379098107586,False,small,negligible
revisit_rate,DoubleDQN,DuelingDQN,10,30.1775,31.580000000000002,-1.4025000000000003,-0.2447503876116051,0.8121387061338786,25.0,0.845703125,-0.07739686830617305,0.09090909090909091,-0.02,1.0,0.845703125,1.0,0.9873647852487537,False,negligible,negligible
revisit_rate,DoubleDQN,DuelingDoubleDQN,10,30.1775,30.222500000000004,-0.045000000000001,-0.010079055949344542,0.9921780960355242,25.0,0.845703125,-0.003187277346419944,-0.09090909090909091,-0.02,1.0,0.845703125,1.0,0.9921780960355241,False,negligible,negligible
revisit_rate,DuelingDQN,DuelingDoubleDQN,10,31.580000000000002,30.222500000000004,1.3574999999999993,0.2305709017935853,0.8228039877072947,23.0,0.6953125,0.07291292118267322,0.16363636363636364,0.04,1.0,0.845703125,1.0,0.9873647852487537,False,negligible,negligible
excess_cost,DQN,DoubleDQN,8,16.018173076923077,12.52732142857143,3.490851648351649,0.28843352679755435,0.7813687464233797,3.0,1.0,0.10197665136005124,0.0,0.03125,1.0,1.0,1.0,0.7813687464233797,False,negligible,negligible
excess_cost,DQN,DuelingDQN,9,14.238376068376068,3.3128697318007663,10.925506336575303,1.0441513440328147,0.32693724522346157,6.0,0.6858304344516057,0.3480504480109383,0.2,-0.037037037037037035,1.0,0.822996521341927,1.0,0.39232469426815386,False,small,negligible
excess_cost,DQN,DuelingDoubleDQN,9,14.238376068376068,41.83143020594966,-27.593054137573592,-1.05759080379384,0.32112859883944184,6.0,0.3454475304692257,-0.35253026793128,-0.42857142857142855,-0.24691358024691357,1.0,0.6908950609384514,1.0,0.39232469426815386,False,small,small
excess_cost,DoubleDQN,DuelingDQN,9,11.135396825396827,3.3128697318007663,7.822527093596061,1.156455992596059,0.2808591108546051,3.0,0.4652088184521418,0.385485330865353,0.4,-0.037037037037037035,1.0,0.6978132276782127,1.0,0.39232469426815386,False,small,negligible
excess_cost,DoubleDQN,DuelingDoubleDQN,9,11.135396825396827,41.83143020594966,-30.696033380552834,-1.2440293551064798,0.24870213687109066,5.0,0.24886387493792206,-0.41467645170216,-0.5238095238095238,-0.2716049382716049,1.0,0.6908950609384514,1.0,0.39232469426815386,False,small,small
excess_cost,DuelingDQN,DuelingDoubleDQN,10,2.9815827586206898,37.6482871853547,-34.666704426734,-1.7933605837862057,0.10650357335297637,1.0,0.07961580146011343,-0.5671104110733641,-0.8666666666666667,-0.22,0.4776948087606806,0.4776948087606806,0.6390214401178582,0.39232469426815386,False,medium,small
route_risk,DQN,DoubleDQN,8,0.6801256974969474,0.5997212885154062,0.08040440898154133,0.733696380856771,0.4869744020221928,15.0,0.7421875,0.2594008431179253,0.16666666666666666,0.21875,1.0,0.890625,1.0,0.5843692824266313,False,small,small
route_risk,DQN,DuelingDQN,9,0.6464768104734772,0.5078603889717075,0.13861642150176973,1.2823979942092907,0.23561157301067034,14.0,0.359375,0.4274659980697636,0.37777777777777777,0.43209876543209874,1.0,0.8515625,0.9922711280642036,0.4712231460213407,False,small,medium
route_risk,DQN,DuelingDoubleDQN,9,0.6464768104734772,0.8778233732023686,-0.23134656272889145,-0.9629768722610091,0.363759767356612,19.0,0.734375,-0.3209922907536697,-0.15555555555555556,-0.18518518518518517,1.0,0.890625,1.0,0.545639651034918,False,small,small
route_risk,DoubleDQN,DuelingDQN,9,0.5906490818549642,0.5396570159558345,0.05099206589912983,0.5420974574708451,0.602519549026804,21.0,0.91015625,0.1806991524902817,0.06666666666666667,0.18518518518518517,1.0,0.91015625,1.0,0.602519549026804,False,negligible,small
route_risk,DoubleDQN,DuelingDoubleDQN,9,0.5906490818549642,0.891378928757924,-0.30072984690295995,-1.4021698949855468,0.1984542256128407,15.0,0.42578125,-0.4673899649951823,-0.3333333333333333,-0.3333333333333333,1.0,0.8515625,0.9922711280642036,0.4712231460213407,False,small,medium
route_risk,DuelingDQN,DuelingDoubleDQN,10,0.5167556000745367,0.8257410358821318,-0.3089854358075951,-1.8943524001996594,0.09070326270641245,10.0,0.083984375,-0.5990468275637734,-0.6363636363636364,-0.32,0.50390625,0.50390625,0.5442195762384747,0.4712231460213407,False,medium,small
route_difficulty,DQN,DoubleDQN,8,1.7243276205738705,1.7344366771708684,-0.01010905659699779,-0.03906210320754686,0.9699315871238726,13.0,0.546875,-0.013810539032732588,-0.2777777777777778,0.0625,1.0,0.7828125,1.0,0.9699315871238726,False,negligible,negligible
route_difficulty,DQN,DuelingDQN,9,1.6459737579704248,1.3385238465358544,0.30744991143456996,1.2507872824997588,0.24635318626174063,14.0,0.359375,0.4169290941665862,0.37777777777777777,0.4074074074074074,1.0,0.7828125,1.0,0.42409475784380346,False,small,medium
route_difficulty,DQN,DuelingDoubleDQN,9,1.6459737579704248,2.372563092806818,-0.7265893348363937,-1.174956155870953,0.27379623414669374,18.0,0.65234375,-0.3916520519569843,-0.2,-0.20987654320987653,1.0,0.7828125,1.0,0.42409475784380346,False,small,small
route_difficulty,DoubleDQN,DuelingDQN,9,1.6990627606598194,1.4341190846310927,0.2649436760287267,0.8297180266248669,0.4307589572122038,20.0,0.8203125,0.2765726755416223,0.1111111111111111,0.2345679012345679,1.0,0.8203125,1.0,0.5169107486546446,False,small,small
route_difficulty,DoubleDQN,DuelingDoubleDQN,9,1.6990627606598194,2.4190445742882996,-0.7199818136284802,-1.1516193127037653,0.28272983856253564,15.0,0.42578125,-0.3838731042345884,-0.3333333333333333,-0.3333333333333333,1.0,0.7828125,1.0,0.42409475784380346,False,small,medium
route_difficulty,DuelingDQN,DuelingDoubleDQN,10,1.3728714618822688,2.2392401168594698,-0.8663686549772006,-1.9467576349124363,0.08339980306926324,9.0,0.064453125,-0.6156188178645827,-0.6727272727272727,-0.34,0.38671875,0.38671875,0.5003988184155794,0.42409475784380346,False,medium,medium
