Metric,Effect,F,p-value,partial eta^2,Interpretation
success_rate,Algorithm,0.36,0.783,0.008,"No significant effect (p=0.783, partial eta^2=0.008, negligible effect size)."
success_rate,PER,0.00,0.945,0.000,"No significant effect (p=0.945, partial eta^2=0.000, negligible effect size)."
success_rate,Noisy Nets,1.89,0.171,0.014,"No significant effect (p=0.171, partial eta^2=0.014, small effect size)."
success_rate,Algorithm x PER,0.72,0.542,0.016,"No significant effect (p=0.542, partial eta^2=0.016, small effect size)."
success_rate,Algorithm x Noisy,0.49,0.691,0.011,"No significant effect (p=0.691, partial eta^2=0.011, small effect size)."
success_rate,PER x Noisy,0.11,0.741,0.001,"No significant effect (p=0.741, partial eta^2=0.001, negligible effect size)."
success_rate,3-way,1.47,0.225,0.032,"No significant effect (p=0.225, partial eta^2=0.032, small effect size)."
success_rate,Seed (block),3.76,0.000,0.200,"Significant effect (p=0.000, partial eta^2=0.200, large effect size)."
mean_reward,Algorithm,0.46,0.711,0.010,"No significant effect (p=0.711, partial eta^2=0.010, small effect size)."
mean_reward,PER,0.04,0.835,0.000,"No significant effect (p=0.835, partial eta^2=0.000, negligible effect size)."
mean_reward,Noisy Nets,3.02,0.085,0.022,"No significant effect (p=0.085, partial eta^2=0.022, small effect size)."
mean_reward,Algorithm x PER,0.71,0.549,0.015,"No significant effect (p=0.549, partial eta^2=0.015, small effect size)."
mean_reward,Algorithm x Noisy,0.50,0.684,0.011,"No significant effect (p=0.684, partial eta^2=0.011, small effect size)."
mean_reward,PER x Noisy,0.10,0.754,0.001,"No significant effect (p=0.754, partial eta^2=0.001, negligible effect size)."
mean_reward,3-way,1.44,0.233,0.031,"No significant effect (p=0.233, partial eta^2=0.031, small effect size)."
mean_reward,Seed (block),3.82,0.000,0.203,"Significant effect (p=0.000, partial eta^2=0.203, large effect size)."
optimality_ratio,Algorithm,2.76,0.045,0.063,"Significant effect (p=0.045, partial eta^2=0.063, medium effect size)."
optimality_ratio,PER,0.33,0.564,0.003,"No significant effect (p=0.564, partial eta^2=0.003, negligible effect size)."
optimality_ratio,Noisy Nets,8.05,0.005,0.061,"Significant effect (p=0.005, partial eta^2=0.061, medium effect size)."
optimality_ratio,Algorithm x PER,0.23,0.874,0.006,"No significant effect (p=0.874, partial eta^2=0.006, negligible effect size)."
optimality_ratio,Algorithm x Noisy,3.70,0.014,0.082,"Significant effect (p=0.014, partial eta^2=0.082, medium effect size)."
optimality_ratio,PER x Noisy,0.00,0.996,0.000,"No significant effect (p=0.996, partial eta^2=0.000, negligible effect size)."
optimality_ratio,3-way,0.68,0.564,0.016,"No significant effect (p=0.564, partial eta^2=0.016, small effect size)."
optimality_ratio,Seed (block),0.67,0.739,0.046,"No significant effect (p=0.739, partial eta^2=0.046, small effect size)."
