agent,condition,seed,success_rate,mean_reward,collision_rate,collisions_per_ep,iala_violations,cte_mean,dropped_frames,docking_accuracy,optimality_ratio,mean_steps,n_solved,n_eval
DQN,clean,0,23.333333333333332,-73.76815,0.0,0.0,0.0,1.6361366666666666,0.0,0.0,1.0393714285714286,48.8,7,30
DQN,clean,1,13.333333333333334,-107.74880999999999,6.666666666666667,0.06666666666666667,0.0,26.520493333333334,0.0,0.0,1.0,53.13333333333333,4,30
DQN,clean,2,0.0,-156.67422666666664,0.0,0.0,0.0,99.80008999999998,0.0,,,60.0,0,30
DQN,clean,3,30.0,-56.28233666666667,0.0,0.0,0.0,8.64938,0.0,0.0,1.0,43.833333333333336,9,30
DQN,clean,4,30.0,-55.00975666666667,0.0,0.0,0.0,2.7807600000000003,0.0,0.0,1.0,44.43333333333333,9,30
DQN,clean,5,6.666666666666667,-123.81150999999998,10.0,0.1,0.0,30.177470000000003,0.0,0.0,1.0,56.13333333333333,2,30
DQN,clean,6,16.666666666666664,-90.08957666666669,0.0,0.0,0.0,35.67084333333334,0.0,0.0,1.0,51.2,5,30
DQN,clean,7,26.666666666666668,-62.78565333333333,0.0,0.0,0.0,2.42039,0.0,0.0,1.0,46.333333333333336,8,30
DQN,clean,8,16.666666666666664,-91.58372666666666,0.0,0.0,0.0,23.098593333333334,0.0,0.0,1.0,51.63333333333333,5,30
DQN,clean,9,10.0,-106.4807,0.0,0.0,0.0,13.000589999999999,0.0,0.0,1.3757333333333335,54.36666666666667,3,30
DQN,clean,10,0.0,-156.30403333333336,0.0,0.0,0.0,113.00638333333335,0.0,,,60.0,0,30
DQN,clean,11,33.33333333333333,-54.54621666666669,0.0,0.0,0.0,25.485556666666664,0.0,0.0,1.0,43.56666666666667,10,30
DQN,clean,12,36.666666666666664,-37.683916666666654,0.0,0.0,0.0,4.355713333333333,0.0,0.0,1.0,42.0,11,30
DQN,clean,13,56.666666666666664,-4.213656666666668,63.33333333333333,0.6333333333333333,0.0,1.8493266666666666,0.0,0.0,1.0,32.36666666666667,17,30
DQN,clean,14,0.0,-141.3485233333333,3.3333333333333335,0.03333333333333333,0.0,43.71959666666667,0.0,,,60.0,0,30
DQN,harsh,0,46.666666666666664,-79.72993999999997,66.66666666666666,1.6666666666666667,51.63333333333333,30.32143333333333,17.466666666666665,12.354050000000003,1.752692857142857,43.766666666666666,14,30
DQN,harsh,1,40.0,-71.99142333333333,43.333333333333336,0.9,50.766666666666666,25.479533333333336,16.7,8.692383333333332,2.9517333333333338,45.166666666666664,12,30
DQN,harsh,2,10.0,-132.58218333333332,30.0,0.6,73.9,44.08935999999999,21.433333333333334,6.7353,4.0892,57.46666666666667,3,30
DQN,harsh,3,26.666666666666668,-113.32761333333335,33.33333333333333,1.2,64.66666666666667,19.065420000000007,21.033333333333335,11.0131375,9.546050000000001,53.7,8,30
DQN,harsh,4,60.0,-26.366016666666663,36.666666666666664,0.5666666666666667,37.63333333333333,20.054970000000004,16.4,11.204294444444445,2.8538444444444444,41.93333333333333,18,30
DQN,harsh,5,36.666666666666664,-90.08417333333334,53.333333333333336,1.4333333333333333,48.333333333333336,27.309263333333334,18.8,8.315963636363637,3.0212363636363633,47.266666666666666,11,30
DQN,harsh,6,3.3333333333333335,-173.63216666666668,53.333333333333336,1.1333333333333333,67.1,78.29467333333334,24.033333333333335,5.0225,3.3786,59.63333333333333,1,30
DQN,harsh,7,56.666666666666664,-64.2444,50.0,1.9,40.333333333333336,20.623753333333337,15.9,14.136423529411767,2.561423529411765,42.333333333333336,17,30
