agent,metric,clean_mean,harsh_mean,abs_change,wilcoxon_p,cohens_dz,effect_mag,cliffs_delta,wilcoxon_p_holm,sig_holm
RuleBased,success_rate,47.333333333333336,47.333333333333336,0.0,1.0,0.0,negligible,0.0,1.0,False
RuleBased,mean_reward,-15.673057555555555,-34.93427,-19.261212444444443,6.103515625e-05,-2.427794264550068,large,-0.21777777777777776,0.00030517578125,True
RuleBased,collision_rate,0.0,34.222222222222214,34.222222222222214,6.103515625e-05,1.9786145895307705,large,1.0,0.00030517578125,True
RuleBased,collisions_per_ep,0.0,0.5333333333333333,0.5333333333333333,6.103515625e-05,1.674628868327358,large,1.0,0.00030517578125,True
RuleBased,iala_violations,0.0,24.26888888888889,24.26888888888889,6.103515625e-05,2.135045038412457,large,1.0,0.00030517578125,True
RuleBased,cte_mean,11.000350222222222,22.83409777777778,11.833747555555556,6.103515625e-05,7.237194013378302,large,0.6355555555555555,0.00030517578125,True
RuleBased,docking_accuracy,0.0,10.581219606198465,10.581219606198465,6.103515625e-05,3.5230539028313355,large,1.0,0.00030517578125,True
RuleBased,optimality_ratio,1.0,1.0,0.0,1.0,0.0,negligible,0.0,1.0,False
DQN,success_rate,19.999999999999996,31.999999999999996,11.999999999999998,0.035374183252677355,0.6137949055234262,medium,0.4444444444444444,0.17687091626338677,False
DQN,mean_reward,-87.88871955555554,-103.55779177777778,-15.669072222222225,0.48870849609375,-0.2710423145986217,small,-0.22666666666666666,0.48870849609375,False
DQN,collision_rate,5.555555555555555,42.44444444444444,36.888888888888886,6.103515625e-05,2.4111205091626258,large,0.8844444444444445,0.00030517578125,True
DQN,collisions_per_ep,0.05555555555555555,1.2822222222222224,1.2266666666666663,6.103515625e-05,2.4649419835326283,large,0.9822222222222222,0.00030517578125,True
DQN,iala_violations,0.0,57.67555555555556,57.67555555555556,6.103515625e-05,5.427713219103227,large,1.0,0.00030517578125,True
DQN,cte_mean,28.811421555555555,31.99136177777778,3.17994022222222,0.359130859375,0.10126068797827231,negligible,0.29777777777777775,0.5537109375,False
DQN,docking_accuracy,0.0,10.007778166592397,10.007778166592397,0.00048828125,3.865667078455445,large,1.0,0.00146484375,True
DQN,optimality_ratio,1.0345920634920633,3.570435626007979,2.5358435625159155,0.00048828125,1.2348791020366214,large,1.0,0.001953125,True
DoubleDQN,success_rate,19.333333333333336,23.777777777777775,4.444444444444444,0.30279541015625,0.197305449466796,negligible,0.21333333333333335,0.90838623046875,False
DoubleDQN,mean_reward,-89.05320533333332,-115.54647711111114,-26.49327177777779,0.10699462890625,-0.4949389091157378,small,-0.31555555555555553,0.32098388671875,False
DoubleDQN,collision_rate,6.0,37.777777777777764,31.77777777777777,0.0001220703125,2.1719083078731787,large,0.9555555555555556,0.00030517578125,True
DoubleDQN,collisions_per_ep,0.059999999999999984,1.02,0.9600000000000001,0.0001220703125,1.3922864426767714,large,0.9644444444444444,0.00030517578125,True
DoubleDQN,iala_violations,0.0,63.16000000000001,63.16000000000001,6.103515625e-05,6.079324437951907,large,1.0,0.00030517578125,True
DoubleDQN,cte_mean,29.020378,42.25247622222222,13.232098222222222,0.041259765625,0.4052234384470358,small,0.49333333333333335,0.1650390625,False
DoubleDQN,docking_accuracy,0.0,11.117448933080809,11.117448933080809,0.00048828125,2.8654687826731986,large,1.0,0.00146484375,True
DoubleDQN,optimality_ratio,1.3637867361111111,4.488467279040404,3.1246805429292928,0.00244140625,1.3357473740099584,large,0.8888888888888888,0.0048828125,True
