Metric,Effect,F,p-value,partial η²,Interpretation
success_rate,Agent,17.33,0.0000,0.261,"sig (p=0.000), large effect"
success_rate,Condition,2.32,0.1009,0.023,"n.s. (p=0.101), small effect"
success_rate,Agent×Condition,1.16,0.3236,0.045,"n.s. (p=0.324), small effect"
success_rate,Seed (block),4.77,0.0000,0.254,"sig (p=0.000), large effect"
collision_rate,Agent,2.00,0.0961,0.039,"n.s. (p=0.096), small effect"
collision_rate,Condition,171.27,0.0000,0.636,"sig (p=0.000), large effect"
collision_rate,Agent×Condition,1.32,0.2335,0.051,"n.s. (p=0.233), small effect"
collision_rate,Seed (block),5.96,0.0000,0.299,"sig (p=0.000), large effect"
iala_violations,Agent,47.50,0.0000,0.492,"sig (p=0.000), large effect"
iala_violations,Condition,1267.02,0.0000,0.928,"sig (p=0.000), large effect"
iala_violations,Agent×Condition,23.59,0.0000,0.491,"sig (p=0.000), large effect"
iala_violations,Seed (block),3.94,0.0000,0.219,"sig (p=0.000), large effect"
cte_mean,Agent,4.35,0.0022,0.082,"sig (p=0.002), medium effect"
cte_mean,Condition,3.75,0.0253,0.037,"sig (p=0.025), small effect"
cte_mean,Agent×Condition,0.19,0.9915,0.008,"n.s. (p=0.991), negligible effect"
cte_mean,Seed (block),3.14,0.0002,0.183,"sig (p=0.000), large effect"
docking_accuracy,Agent,0.61,0.6561,0.013,"n.s. (p=0.656), small effect"
docking_accuracy,Condition,529.42,0.0000,0.855,"sig (p=0.000), large effect"
docking_accuracy,Agent×Condition,0.62,0.7583,0.027,"n.s. (p=0.758), small effect"
docking_accuracy,Seed (block),1.38,0.1664,0.097,"n.s. (p=0.166), medium effect"
optimality_ratio,Agent,19.64,0.0000,0.304,"sig (p=0.000), large effect"
optimality_ratio,Condition,62.13,0.0000,0.408,"sig (p=0.000), large effect"
optimality_ratio,Agent×Condition,5.24,0.0000,0.189,"sig (p=0.000), large effect"
optimality_ratio,Seed (block),2.47,0.0032,0.161,"sig (p=0.003), large effect"
