Metric,Rule-based vs,RB mean,DQN mean,Δ,adj p (Holm),Cohen d_z,Sig,Interpretation
Success %,DQN,47.33,32.00,+15.33,0.146,0.55,no,"Rule-based 47.3 vs DQN 32.0 (d_z=0.55, medium); n.s. after Holm (adj p=0.146)."
Success %,Double DQN,47.33,23.78,+23.56,0.021,0.90,yes,"Rule-based 47.3 vs Double DQN 23.8 (d_z=0.90, large); significant after Holm."
Success %,Dueling DQN,47.33,32.67,+14.67,0.146,0.53,no,"Rule-based 47.3 vs Dueling DQN 32.7 (d_z=0.53, medium); n.s. after Holm (adj p=0.146)."
Success %,Dueling Double DQN,47.33,29.56,+17.78,0.065,0.59,no,"Rule-based 47.3 vs Dueling Double DQN 29.6 (d_z=0.59, medium); n.s. after Holm (adj p=0.065)."
Collision %,DQN,34.22,42.44,-8.22,0.544,-0.38,no,"Rule-based 34.2 vs DQN 42.4 (d_z=-0.38, small); n.s. after Holm (adj p=0.544)."
Collision %,Double DQN,34.22,37.78,-3.56,0.544,-0.19,no,"Rule-based 34.2 vs Double DQN 37.8 (d_z=-0.19, negligible); n.s. after Holm (adj p=0.544)."
Collision %,Dueling DQN,34.22,44.22,-10.00,0.141,-0.57,no,"Rule-based 34.2 vs Dueling DQN 44.2 (d_z=-0.57, medium); n.s. after Holm (adj p=0.141)."
Collision %,Dueling Double DQN,34.22,45.78,-11.56,0.284,-0.47,no,"Rule-based 34.2 vs Dueling Double DQN 45.8 (d_z=-0.47, small); n.s. after Holm (adj p=0.284)."
IALA/ep,DQN,24.27,57.68,-33.41,0.000,-2.31,yes,"Rule-based 24.3 vs DQN 57.7 (d_z=-2.31, large); significant after Holm."
IALA/ep,Double DQN,24.27,63.16,-38.89,0.000,-2.38,yes,"Rule-based 24.3 vs Double DQN 63.2 (d_z=-2.38, large); significant after Holm."
IALA/ep,Dueling DQN,24.27,59.39,-35.12,0.000,-2.03,yes,"Rule-based 24.3 vs Dueling DQN 59.4 (d_z=-2.03, large); significant after Holm."
IALA/ep,Dueling Double DQN,24.27,57.93,-33.66,0.000,-1.91,yes,"Rule-based 24.3 vs Dueling Double DQN 57.9 (d_z=-1.91, large); significant after Holm."
CTE,DQN,22.83,31.99,-9.16,0.035,-0.60,yes,"Rule-based 22.8 vs DQN 32.0 (d_z=-0.60, medium); significant after Holm."
CTE,Double DQN,22.83,42.25,-19.42,0.001,-1.14,yes,"Rule-based 22.8 vs Double DQN 42.3 (d_z=-1.14, large); significant after Holm."
CTE,Dueling DQN,22.83,35.58,-12.74,0.020,-0.70,yes,"Rule-based 22.8 vs Dueling DQN 35.6 (d_z=-0.70, medium); significant after Holm."
CTE,Dueling Double DQN,22.83,35.96,-13.12,0.025,-0.73,yes,"Rule-based 22.8 vs Dueling Double DQN 36.0 (d_z=-0.73, medium); significant after Holm."
Docking err,DQN,10.58,9.87,+0.71,1.000,0.17,no,"Rule-based 10.6 vs DQN 9.9 (d_z=0.17, negligible); n.s. after Holm (adj p=1.000)."
Docking err,Double DQN,10.68,10.98,-0.30,1.000,-0.06,no,"Rule-based 10.7 vs Double DQN 11.0 (d_z=-0.06, negligible); n.s. after Holm (adj p=1.000)."
Docking err,Dueling DQN,10.58,11.61,-1.03,1.000,-0.21,no,"Rule-based 10.6 vs Dueling DQN 11.6 (d_z=-0.21, small); n.s. after Holm (adj p=1.000)."
Docking err,Dueling Double DQN,10.55,11.25,-0.70,1.000,-0.16,no,"Rule-based 10.5 vs Dueling Double DQN 11.2 (d_z=-0.16, negligible); n.s. after Holm (adj p=1.000)."
