pairing,condition,seed,vessel_collision_rate,vessel_collisions_per_ep,near_misses_per_ep,min_cpa,collision_contact_steps,give_way_events,success_rate,mean_reward,static_collisions,cte_mean,iala_violations,dropped_frames,docking_accuracy,optimality_ratio,mean_steps,n_encounters,n_vessel_rows,n_solved
DDQN_vs_DDQN,clean,0,3.3333333333333335,0.03333333333333333,0.03333333333333333,215.9058033333333,0.03333333333333333,0.03333333333333333,18.333333333333332,-95.21527666666664,0.05,37.536393333333336,0.0,0.0,0.0,1.6606,50.35,30,60,11
DDQN_vs_DDQN,clean,1,6.666666666666667,0.06666666666666667,0.6,296.99711333333323,0.13333333333333333,0.6666666666666666,5.0,-135.846215,0.16666666666666666,17.176283333333334,0.0,0.0,0.0,1.4580000000000002,56.2,30,60,3
DDQN_vs_DDQN,clean,2,20.0,0.36666666666666664,0.5,235.37861999999998,5.8,4.866666666666666,15.0,-304.2501866666667,0.016666666666666666,22.342319999999997,0.0,0.0,0.0,2.373277777777778,52.45,30,60,9
DDQN_vs_DDQN,clean,3,30.0,0.3,0.4,213.7134833333333,0.6333333333333333,0.6,6.666666666666667,-148.20651666666672,0.0,43.307246666666664,0.0,0.0,0.0,7.74505,56.25,30,60,4
DDQN_vs_DDQN,clean,4,10.0,0.1,0.13333333333333333,283.78359,2.3,1.2666666666666666,16.666666666666664,-172.68854000000002,0.06666666666666667,24.985055,0.0,0.0,0.0,1.3483100000000001,50.516666666666666,30,60,10
DDQN_vs_DDQN,clean,5,20.0,0.2,1.0666666666666667,227.78931,4.966666666666667,1.9333333333333333,11.666666666666666,-279.408975,0.23333333333333334,31.654500000000002,0.0,0.0,0.0,1.5115999999999998,53.0,30,60,7
DDQN_vs_DDQN,clean,6,10.0,0.1,0.8333333333333334,192.79417000000004,2.066666666666667,4.033333333333333,20.0,-176.31862833333335,0.0,21.24633833333333,0.0,0.0,0.0,1.1367333333333334,49.7,30,60,12
DDQN_vs_DDQN,clean,7,10.0,0.1,0.5,198.08977666666667,0.8,1.5666666666666667,15.0,-126.85920666666667,0.13333333333333333,13.210435,0.0,0.0,0.0,1.6639222222222223,51.68333333333333,30,60,9
DDQN_vs_DDQN,harsh,0,30.0,0.6333333333333333,0.6333333333333333,198.13258666666667,2.8333333333333335,2.1,18.333333333333332,-235.70064666666667,0.8333333333333334,59.345955000000004,64.13333333333334,21.283333333333335,6.827099999999999,2.1199090909090907,52.516666666666666,30,60,11
DDQN_vs_DDQN,harsh,1,20.0,0.5,0.2,259.85876,2.2,1.0666666666666667,20.0,-199.49102666666667,0.7833333333333333,63.476915000000005,64.51666666666667,21.066666666666666,14.920774999999999,4.2335,52.333333333333336,30,60,12
DDQN_vs_DDQN,harsh,2,33.33333333333333,1.0,0.4,191.66398,6.066666666666666,2.7333333333333334,11.666666666666666,-333.95255166666664,0.38333333333333336,61.262000000000015,67.78333333333333,21.516666666666666,6.391071428571428,3.4907428571428567,54.666666666666664,30,60,7
DDQN_vs_DDQN,harsh,3,30.0,0.9,1.4333333333333333,173.51010666666667,2.966666666666667,2.466666666666667,11.666666666666666,-250.22624333333334,0.9166666666666666,44.68574833333333,70.31666666666666,23.4,9.950199999999999,4.316357142857142,55.483333333333334,30,60,7
DDQN_vs_DDQN,harsh,4,20.0,0.6,0.16666666666666666,189.89485333333334,1.4666666666666666,1.3,30.0,-154.13496333333336,1.0333333333333334,36.058395,52.61666666666667,19.333333333333332,9.595394444444445,2.988255555555556,49.63333333333333,30,60,18
DDQN_vs_DDQN,harsh,5,33.33333333333333,0.6666666666666666,0.6333333333333333,164.62324666666666,1.5666666666666667,2.1,13.333333333333334,-219.66031999999998,1.7,56.20435,70.56666666666666,22.4,11.425112500000001,3.6849250000000002,54.75,30,60,8
DDQN_vs_DDQN,harsh,6,36.666666666666664,0.8333333333333334,0.43333333333333335,172.71430666666666,2.1333333333333333,2.1666666666666665,26.666666666666668,-198.61403,1.1333333333333333,57.79783666666666,63.03333333333333,21.183333333333334,9.0835,3.74545,51.95,30,60,16
DDQN_vs_DDQN,harsh,7,33.33333333333333,0.6333333333333333,0.5,199.07797333333335,1.4,0.9666666666666667,8.333333333333332,-205.4598016666667,0.85,95.78167166666668,72.16666666666667,22.483333333333334,12.29346,3.66802,55.88333333333333,30,60,5
DDQN_vs_DDQN,mid,0,10.0,0.26666666666666666,0.23333333333333334,233.35710666666668,1.3333333333333333,1.3666666666666667,10.0,-182.8875983333333,0.21666666666666667,77.73260666666667,23.133333333333333,11.116666666666667,4.1812000000000005,3.25985,55.36666666666667,30,60,6
DDQN_vs_DDQN,mid,1,13.333333333333334,0.3,0.3,277.7633866666667,1.6,0.5333333333333333,30.0,-145.58956166666667,0.7,63.797875,16.583333333333332,9.616666666666667,4.907522222222222,2.024061111111111,47.18333333333333,30,60,18
