pairing,condition,n_seeds,vessel_collision_rate_mean,vessel_collision_rate_sd,vessel_collision_rate_ci95_hw,vessel_collision_rate_boot_lo,vessel_collision_rate_boot_hi,vessel_collisions_per_ep_mean,vessel_collisions_per_ep_sd,vessel_collisions_per_ep_ci95_hw,vessel_collisions_per_ep_boot_lo,vessel_collisions_per_ep_boot_hi,near_misses_per_ep_mean,near_misses_per_ep_sd,near_misses_per_ep_ci95_hw,near_misses_per_ep_boot_lo,near_misses_per_ep_boot_hi,min_cpa_mean,min_cpa_sd,min_cpa_ci95_hw,min_cpa_boot_lo,min_cpa_boot_hi,collision_contact_steps_mean,collision_contact_steps_sd,collision_contact_steps_ci95_hw,collision_contact_steps_boot_lo,collision_contact_steps_boot_hi,give_way_events_mean,give_way_events_sd,give_way_events_ci95_hw,give_way_events_boot_lo,give_way_events_boot_hi,success_rate_mean,success_rate_sd,success_rate_ci95_hw,success_rate_boot_lo,success_rate_boot_hi,mean_reward_mean,mean_reward_sd,mean_reward_ci95_hw,mean_reward_boot_lo,mean_reward_boot_hi,static_collisions_mean,static_collisions_sd,static_collisions_ci95_hw,static_collisions_boot_lo,static_collisions_boot_hi,cte_mean_mean,cte_mean_sd,cte_mean_ci95_hw,cte_mean_boot_lo,cte_mean_boot_hi,iala_violations_mean,iala_violations_sd,iala_violations_ci95_hw,iala_violations_boot_lo,iala_violations_boot_hi,dropped_frames_mean,dropped_frames_sd,dropped_frames_ci95_hw,dropped_frames_boot_lo,dropped_frames_boot_hi,docking_accuracy_mean,docking_accuracy_sd,docking_accuracy_ci95_hw,docking_accuracy_boot_lo,docking_accuracy_boot_hi,optimality_ratio_mean,optimality_ratio_sd,optimality_ratio_ci95_hw,optimality_ratio_boot_lo,optimality_ratio_boot_hi,mean_steps_mean,mean_steps_sd,mean_steps_ci95_hw,mean_steps_boot_lo,mean_steps_boot_hi
DDQN_vs_DDQN,clean,8,13.75,8.807914910997102,7.363601141527875,8.333333333333334,20.0,0.15833333333333333,0.11919039057889358,0.09964566018117187,0.08750000000000001,0.23750000000000002,0.5083333333333333,0.33888238349207506,0.28331276257111787,0.2916666666666667,0.7333333333333333,233.05648333333332,38.18526430952305,31.92367986072158,210.72287140625,259.213484,2.091666666666667,2.2015687047886474,1.8405574976085348,0.7749999999999999,3.591666666666667,1.8708333333333333,1.7135721067639271,1.4325821319757444,0.8416666666666667,3.058333333333333,13.541666666666666,5.377606418626301,4.495791474261812,10.0,16.875,-179.84919312500003,74.02688386112806,61.88802367095588,-231.21380475520837,-135.10486937500002,0.08333333333333334,0.08591246929842246,0.07182462176235142,0.03125,0.14166666666666666,26.432321458333334,10.292468106789379,8.604718672482466,20.043881041666666,33.29014284895833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.362186666666667,2.204730976021067,1.8432012225187053,1.4221329166666667,3.9687784722222226,52.51875,2.5373001133250606,2.121235979193188,50.98953125,54.224999999999994
DDQN_vs_DDQN,harsh,8,29.583333333333332,6.283639628760307,5.253254193625168,25.416666666666664,33.33333333333333,0.7208333333333333,0.17084059218027764,0.14282630932632137,0.6166666666666667,0.8374999999999999,0.55,0.3968126982095173,0.33174371767149313,0.3333333333333333,0.8374999999999999,193.68447666666668,29.610961385398628,24.755383227762756,177.6463579375,215.2529416666667,2.5791666666666666,1.529388040288591,1.278600398971526,1.7625,3.716666666666667,1.8625,0.6634296412498382,0.5546410601141584,1.4291666666666667,2.2875,17.5,7.715167498104596,6.450041442292998,12.916666666666666,22.5,-224.65494791666669,52.64393236979842,44.011428858011065,-261.68905070312496,-193.98618174479168,0.9541666666666667,0.3735023001990326,0.3122557372432123,0.73125,1.208385416666666,59.32660895833334,17.393730300787027,14.541522436642607,49.14376916666667,71.54573744791666,65.64166666666667,6.248066367551911,5.223514203004352,61.30208333333333,69.22098958333333,21.583333333333336,1.2166177420039253,1.0171178859411798,20.774895833333332,22.327083333333334,10.060826671626984,2.8176269074547573,2.355595043978999,8.311318725198413,11.895155476562499,3.5308949558080807,0.7057030856157175,0.5899825440333832,3.0403476961580083,3.9474993551587296,53.40208333333334,2.1428440806480187,1.791462483212128,51.96875,54.74375
DDQN_vs_DDQN,mid,8,19.583333333333336,10.302950725437526,8.613482360985783,13.333333333333332,26.666666666666664,0.4458333333333333,0.2084999333866134,0.17431030646960996,0.3125,0.5833333333333334,0.35833333333333334,0.2700675988276045,0.22578216287417707,0.21666666666666667,0.5583333333333333,217.72665958333334,34.05330202419015,28.469272942798366,196.82563666666667,240.59586462499996,2.5208333333333335,1.9941133606788999,1.6671204896288947,1.5166666666666666,3.970833333333333,0.9833333333333334,0.5623081683476385,0.4701013931419076,0.6416666666666666,1.3541666666666667,19.791666666666664,6.512350903146596,5.4444616040247,15.625,23.958333333333332,-189.97496041666665,54.379124201427324,45.46208553229381,-230.36581935937502,-160.78350125000003,0.3729166666666667,0.14985111658862318,0.12527866859766207,0.29166666666666663,0.47916666666666663,45.000853125000006,17.681400508785938,14.782020749059265,34.520769796874994,57.33432532812499,18.577083333333334,2.549446524123438,2.131390632743341,17.016614583333332,20.287760416666664,10.354166666666668,0.6157812175899067,0.5148059810517795,9.94578125,10.729166666666668,4.270262410130719,0.5478397010756691,0.45800545179862645,3.943720655080214,4.647188737373737,2.446996951500297,0.5561605906013797,0.46496188952868994,2.094295359393568,2.81818570855615,51.266666666666666,2.521904042583699,2.1083645419425188,49.6,52.89375
DQN_vs_DQN,clean,8,15.833333333333332,9.215239276363631,7.704132832863837,10.0,22.083333333333332,0.17916666666666667,0.10974356834753823,0.09174791915284213,0.10833333333333334,0.25,0.7625,0.5644037449393716,0.47185333901547394,0.44999999999999996,1.1666666666666665,224.14983416666666,36.995511324443264,30.92902147362348,198.52244708333333,245.47717427083336,3.0208333333333335,2.3100840017709516,1.9312785562026025,1.5873958333333333,4.566666666666666,2.5250000000000004,1.9043600766628408,1.5920848664064957,1.3625,3.845833333333333,15.625,7.711952174981789,6.447353364892532,10.833333333333332,20.833333333333332,-210.693680625,81.70085059749616,68.3036204144501,-267.8828677083334,-160.214203546875,0.06875,0.07423552181006542,0.06206244936131343,0.022916666666666665,0.11666666666666667,37.552260833333335,22.911768768818888,19.154718042274805,23.4030768125,53.54372273958334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.390020593487395,0.5351105313639609,0.44736359960466315,1.100285294117647,1.7690339268207282,51.37291666666667,3.381320507289405,2.826854686829531,49.16651041666666,53.420885416666664
DQN_vs_DQN,harsh,8,24.583333333333332,7.546154281781179,6.3087428574146935,19.583333333333332,29.166666666666664,0.5583333333333333,0.2300793513910102,0.19235115139787853,0.42083333333333334,0.7208333333333333,0.625,0.40737253337992846,0.34057196080291813,0.3833333333333333,0.9041666666666666,198.77624833333334,31.10841559697445,26.007286277822665,179.738705,220.18307281250003,2.4541666666666666,2.0538726487158003,1.7170805046894397,1.4208333333333334,3.9501041666666654,1.7,0.8255830070848731,0.6902046664649241,1.1791666666666667,2.241770833333332,21.666666666666668,6.10750254208603,5.1059999040905675,18.333333333333332,26.041666666666664,-208.88150458333337,58.72034868862279,49.09144002908043,-250.19106145833337,-174.30233708333333,0.9270833333333334,0.47064102688830284,0.3934657450559127,0.6229166666666666,1.2250520833333327,54.734644583333335,16.154259981363623,13.505299317865578,44.374335625,65.28619454166665,64.05416666666667,4.913059613103099,4.107420625768166,60.71817708333334,67.03333333333333,21.197916666666668,1.1049110249318141,0.9237287333823242,20.454166666666666,21.854166666666668,9.850951273726274,2.0850366468798347,1.7431342591562022,8.53234346153846,11.214824349025973,4.19846060980686,1.1295332457375644,0.9443134251129177,3.508353982142857,4.939663671765735,52.449999999999996,2.606158761868412,2.178803250010577,50.61869791666666,53.960520833333334
DQN_vs_DQN,mid,8,23.75,7.855338898249343,6.5672276654281365,18.75,29.166666666666664,0.48333333333333334,0.1851640199545103,0.15480099461503194,0.3708333333333333,0.6083333333333334,0.4666666666666667,0.3202181795896082,0.26770909762309264,0.2791666666666667,0.6916666666666667,210.6376925,36.27206224149791,30.324202904547334,188.540567875,235.01614985416666,4.695833333333333,1.5545567938794729,1.299642003544846,3.7208333333333337,5.695833333333333,3.2041666666666666,1.8818631008016315,1.5732769239131263,2.1,4.504270833333331,26.875,8.838834764831844,7.389450786227452,21.041666666666664,32.5,-257.6593497916667,69.69376034205267,58.2654417530031,-303.27414270833333,-211.65456104166665,0.55625,0.5611027619998048,0.4690936482160534,0.2916666666666667,0.9666666666666666,37.83282208333333,14.750530782038755,12.331752338927467,28.617114046875,47.754635833333325,17.004166666666666,1.9396806724590296,1.6216136234565361,15.766666666666666,18.335416666666667,9.633333333333333,0.8383657572069264,0.7008913130029254,9.091666666666667,10.147916666666667,4.929479593646665,0.7578841542144181,0.6336070090948921,4.413150498419598,5.392668596954196,2.0955601772065053,0.3499414890821837,0.29255840621896073,1.878726753836317,2.333359321034491,48.24791666666667,3.492991139864887,2.920213671994259,46.03541666666667,50.514583333333334
DQN_vs_RuleBased,clean,8,23.333333333333336,9.085135251589959,7.595363146164816,18.333333333333332,29.583333333333336,0.375,0.20987524639084776,0.17546009691493927,0.25416666666666665,0.5166666666666667,0.1375,0.10302950725437526,0.08613482360985784,0.07083333333333333,0.20416666666666666,185.69694458333333,56.16647855529762,46.95635116649533,146.47395583333332,218.3295725,0.6791666666666667,0.4174516415297382,0.3489983060875276,0.42499999999999993,0.9541666666666666,0.5708333333333333,0.3596459899612925,0.30067157198786965,0.35833333333333334,0.8208333333333333,26.875,14.811983029623052,12.383127703589107,18.125,36.875,-93.57512312499999,26.670271753675163,22.296905171622367,-109.11586333333334,-74.29162771354167,0.020833333333333336,0.04249182927993987,0.035524058276347685,0.0,0.05,27.376101666666667,11.865837424984194,9.920088339943607,19.947488729166665,35.00608770833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0132191666666668,0.01939165806167575,0.016211831844650384,1.0,1.0265004166666667,45.881249999999994,6.952979477253699,5.812836310646105,41.17708333333333,50.108333333333334
DQN_vs_RuleBased,harsh,8,25.833333333333332,10.039604115384769,8.393319085341417,19.583333333333332,32.5,0.5125,0.3096016385666824,0.2588334472125866,0.32083333333333336,0.7250000000000001,0.2791666666666667,0.17084059218027764,0.14282630932632137,0.17083333333333334,0.39166666666666666,192.44626583333334,33.21552217663578,27.76887146252316,168.75384562499997,211.26576375000002,1.3125,0.7743789113946081,0.6473969711947328,0.8,1.8,1.0583333333333333,0.64309519401985,0.537641036800113,0.6458333333333333,1.4791666666666665,27.291666666666668,10.725192860958813,8.966485620275188,21.041666666666664,34.79166666666667,-136.39948958333332,28.8891320675803,24.151918816220928,-156.21130075520833,-118.98573916666666,0.7145833333333333,0.49460883213444223,0.4135033316872315,0.4061979166666667,1.03125,37.622502708333336,13.843817017685213,11.573720661998273,29.944610359375005,47.477886041666665,44.56666666666666,5.340672034283493,4.464913556223711,41.10208333333333,47.954166666666666,18.829166666666666,1.3371003334033316,1.1178438530432475,17.93541666666667,19.620885416666667,9.98468889203082,1.418831522211503,1.1861728368365472,9.12553899953276,10.927506306478948,1.4499183314600659,0.33983349927935647,0.2841079152681774,1.2220772882059694,1.6678460830454829,46.61666666666667,3.7106988175121023,3.102221845306748,44.056250000000006,48.86463541666666
DQN_vs_RuleBased,mid,8,27.916666666666668,12.71638113640627,10.631160677453044,20.416666666666668,36.66666666666667,0.5541666666666667,0.4193485121032082,0.3505841295725723,0.32499999999999996,0.8541666666666666,0.3458333333333333,0.3633781099538755,0.30379170238370157,0.12916666666666668,0.6125,194.03548875,40.88362964920987,34.17956973890023,164.6961029166667,216.88344410416667,1.5833333333333333,1.1702665549026896,0.9783673237821737,0.8666666666666667,2.3583333333333334,1.1791666666666667,1.0352420926895267,0.8654840484401691,0.5625,1.8791666666666667,30.0,16.158932858054428,13.509205940543287,20.625,41.666666666666664,-132.798608125,35.39822326713004,29.59365523984035,-156.42724600000003,-110.93865583333334,0.4979166666666666,0.27130453515127756,0.22681626751949147,0.3104166666666667,0.6625,38.77210166666666,24.03187617770698,20.091151270577694,23.9115513125,54.520337765624994,12.952083333333334,2.2290548481078285,1.863536488478283,11.439583333333333,14.329270833333332,9.14375,1.3423190516818033,1.1222068107081413,8.195833333333333,9.90421875,4.41287553514468,0.42373464706116615,0.3542510301625165,4.117279490366542,4.663252069858595,1.4839303518740032,0.5250995951135741,0.43899424745423843,1.1851034931077695,1.8604208280644792,45.577083333333334,6.4941422781281455,5.429238812555165,40.74166666666667,49.23588541666666
RuleBased_vs_RuleBased,clean,8,40.83333333333333,13.062730213662098,10.920715752226062,32.5,49.58333333333333,1.075,0.5943517209985753,0.4968904735614339,0.7166666666666667,1.4791666666666665,0.525,0.33464029491997366,0.27976628777343476,0.3416666666666667,0.7626041666666651,117.73969499999998,43.75186855248998,36.57747747027466,91.10493708333331,147.31039083333332,10.920833333333334,5.728429173311894,4.789086636962735,7.066666666666666,14.479270833333333,3.1791666666666663,1.5233565174853452,1.2735579197187257,2.1998958333333336,4.175,48.33333333333333,15.039630187955957,12.573445490704968,38.75,58.33333333333333,-359.6093558333333,190.83028077404612,159.5381072075746,-478.3763678072916,-235.67630479166667,0.0,0.0,0.0,0.0,0.0,10.734687916666667,7.663316701914976,6.406693091875318,6.119488484375,16.004099375000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,35.82291666666667,7.21281893190481,6.030067530999288,31.054166666666667,40.3
