condition,metric,reference,vs,n,mean_x,mean_y,mean_diff,wilcoxon_p,t_p,cohens_dz,cliffs_delta,wilcoxon_p_holm,wilcoxon_p_bh,sig_holm,effect_mag
clean,vessel_collision_rate,RuleBased_vs_RuleBased,DQN_vs_DQN,8,40.83333333333333,15.833333333333332,25.0,0.0078125,0.0010627147543785529,1.8919686716606738,0.890625,0.0234375,0.01775592261403605,True,large
clean,vessel_collision_rate,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,40.83333333333333,13.75,27.08333333333333,0.01775592261403605,0.0037062737996999963,1.509239361532985,0.921875,0.03125,0.01775592261403605,True,large
clean,vessel_collision_rate,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,40.83333333333333,23.333333333333332,17.5,0.015625,0.00479135773759232,1.4364897054266668,0.71875,0.03125,0.01775592261403605,True,large
clean,vessel_collisions_per_ep,RuleBased_vs_RuleBased,DQN_vs_DQN,8,1.075,0.17916666666666664,0.8958333333333335,0.0078125,0.004109258133393547,1.4797804394172915,0.984375,0.0234375,0.0078125,True,large
clean,vessel_collisions_per_ep,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,1.075,0.1583333333333333,0.9166666666666667,0.0078125,0.004182610935447271,1.474760262121036,0.984375,0.0234375,0.0078125,True,large
clean,vessel_collisions_per_ep,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,1.075,0.375,0.7000000000000001,0.0078125,0.005883663219711231,1.3795672939798873,0.84375,0.0234375,0.0078125,True,large
clean,near_misses_per_ep,RuleBased_vs_RuleBased,DQN_vs_DQN,8,0.525,0.7625,-0.23749999999999996,0.25,0.2905016343874849,-0.40421901376925795,-0.328125,0.5,0.375,False,small
clean,near_misses_per_ep,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,0.525,0.5083333333333333,0.016666666666666614,0.84375,0.9209817341656552,0.03635591101679366,-0.03125,0.84375,0.84375,False,negligible
clean,near_misses_per_ep,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,0.525,0.13749999999999998,0.38749999999999996,0.017960477526078766,0.008665786974087774,1.275049755773965,0.9375,0.0538814325782363,0.0538814325782363,False,large
clean,min_cpa,RuleBased_vs_RuleBased,DQN_vs_DQN,8,117.73969499999998,224.14983416666666,-106.4101391666667,0.0078125,0.00026208485048976514,-2.390783912587616,-0.90625,0.0234375,0.01171875,True,large
clean,min_cpa,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,117.73969499999998,233.05648333333332,-115.31678833333332,0.0078125,0.00014252444643828968,-2.6360051176312447,-0.9375,0.0234375,0.01171875,True,large
clean,min_cpa,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,117.73969499999998,185.69694458333333,-67.95724958333336,0.0234375,0.006277220423305195,-1.3618416354865897,-0.65625,0.0234375,0.0234375,True,large
clean,give_way_events,RuleBased_vs_RuleBased,DQN_vs_DQN,8,3.1791666666666663,2.5250000000000004,0.6541666666666668,0.546875,0.38426674402416766,0.32811437959618023,0.25,0.546875,0.546875,False,small
clean,give_way_events,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,3.1791666666666663,1.8708333333333331,1.3083333333333336,0.078125,0.07910186820900253,0.7260785907989724,0.5,0.15625,0.1171875,False,medium
clean,give_way_events,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,3.1791666666666663,0.5708333333333333,2.6083333333333334,0.017960477526078766,0.0031417298595309505,1.5570350071589534,0.953125,0.0538814325782363,0.0538814325782363,False,large
clean,success_rate,RuleBased_vs_RuleBased,DQN_vs_DQN,8,48.33333333333333,15.625,32.708333333333336,0.0078125,0.00017194470392796772,2.558444318191584,0.9375,0.0234375,0.01171875,True,large
clean,success_rate,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,48.33333333333333,13.541666666666666,34.791666666666664,0.0078125,5.233978428495213e-05,3.083241645035773,1.0,0.0234375,0.01171875,True,large
clean,success_rate,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,48.33333333333333,26.875,21.458333333333332,0.017960477526078766,0.002939465412883159,1.576507162262192,0.65625,0.0234375,0.017960477526078766,True,large
clean,mean_reward,RuleBased_vs_RuleBased,DQN_vs_DQN,8,-359.6093558333333,-210.693680625,-148.91567520833328,0.078125,0.05193545026846526,-0.8268961275975996,-0.5,0.15625,0.078125,False,large
clean,mean_reward,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,-359.6093558333333,-179.84919312500003,-179.7601627083333,0.078125,0.06590231255399413,-0.7697939077670559,-0.5625,0.15625,0.078125,False,medium
clean,mean_reward,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,-359.6093558333333,-93.57512312499999,-266.0342327083333,0.015625,0.004230602818237781,-1.4715277284142483,-0.8125,0.046875,0.046875,True,large
clean,cte_mean,RuleBased_vs_RuleBased,DQN_vs_DQN,8,10.734687916666665,37.552260833333335,-26.817572916666666,0.015625,0.01900076881932374,-1.0727637535065828,-0.84375,0.03125,0.0234375,True,large
clean,cte_mean,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,10.734687916666665,26.432321458333334,-15.697633541666665,0.0078125,0.00131821931885302,-1.8222013627777423,-0.8125,0.0234375,0.0234375,True,large
clean,cte_mean,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,10.734687916666665,27.376101666666667,-16.64141375,0.0390625,0.021947480055043805,-1.036779532565014,-0.8125,0.0390625,0.0390625,True,large
clean,docking_accuracy,RuleBased_vs_RuleBased,DQN_vs_DQN,8,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,False,negligible
clean,docking_accuracy,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,False,negligible
clean,docking_accuracy,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,False,negligible
clean,optimality_ratio,RuleBased_vs_RuleBased,DQN_vs_DQN,8,1.0,1.390020593487395,-0.3900205934873949,0.043114446783075355,0.07818864836170952,-0.7288598721711914,-0.625,0.08622889356615071,0.06467167017461303,False,medium
clean,optimality_ratio,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,1.0,2.362186666666667,-1.3621866666666669,0.0078125,0.12403819008410712,-0.6178471121792098,-1.0,0.0234375,0.0234375,True,medium
clean,optimality_ratio,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,1.0,1.0132191666666668,-0.013219166666666698,0.10880943004054568,0.09518533788732395,-0.681693469667356,-0.375,0.10880943004054568,0.10880943004054568,False,medium
mid,vessel_collision_rate,RuleBased_vs_RuleBased,DQN_vs_DQN,8,40.83333333333333,23.749999999999996,17.083333333333336,0.0078125,0.005621894018783912,1.3920889791802842,0.78125,0.0234375,0.01171875,True,large
mid,vessel_collision_rate,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,40.83333333333333,19.583333333333332,21.25,0.0078125,0.00029770720391438405,2.3418019012244216,0.828125,0.0234375,0.01171875,True,large
mid,vessel_collision_rate,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,40.83333333333333,27.916666666666668,12.916666666666664,0.04252247799805163,0.029364213719986827,0.9649878498652701,0.578125,0.04252247799805163,0.042522477998051623,True,large
mid,vessel_collisions_per_ep,RuleBased_vs_RuleBased,DQN_vs_DQN,8,1.075,0.48333333333333334,0.5916666666666667,0.0234375,0.027839400439360028,0.9780584603015878,0.765625,0.0234375,0.0234375,True,large
mid,vessel_collisions_per_ep,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,1.075,0.4458333333333333,0.6291666666666668,0.0078125,0.008011539234920829,1.2959583153848298,0.765625,0.0234375,0.01171875,True,large
mid,vessel_collisions_per_ep,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,1.075,0.5541666666666666,0.5208333333333335,0.0078125,0.013705254615228063,1.1555407569027438,0.625,0.0234375,0.01171875,True,large
mid,near_misses_per_ep,RuleBased_vs_RuleBased,DQN_vs_DQN,8,0.525,0.4666666666666666,0.0583333333333333,0.7524936490337828,0.7056506974192036,0.13912821116586013,0.203125,0.7524936490337828,0.7524936490337829,False,negligible
mid,near_misses_per_ep,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,0.525,0.35833333333333334,0.16666666666666663,0.25,0.26043758005876805,0.4328581372962214,0.46875,0.5859375,0.375,False,small
mid,near_misses_per_ep,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,0.525,0.3458333333333333,0.17916666666666664,0.1953125,0.16737173578807793,0.5445968244413175,0.46875,0.5859375,0.375,False,medium
mid,min_cpa,RuleBased_vs_RuleBased,DQN_vs_DQN,8,118.86134541666667,210.63769249999999,-91.77634708333333,0.0078125,0.00043494132276932716,-2.2005500161781515,-0.875,0.0234375,0.0078125,True,large
mid,min_cpa,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,118.86134541666667,217.72665958333334,-98.86531416666668,0.0078125,9.51436548641672e-05,-2.8094809769112223,-0.90625,0.0234375,0.0078125,True,large
mid,min_cpa,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,118.86134541666667,194.03548875,-75.17414333333333,0.0078125,0.00112210311391769,-1.8741999937833294,-0.78125,0.0234375,0.0078125,True,large
mid,give_way_events,RuleBased_vs_RuleBased,DQN_vs_DQN,8,3.0666666666666664,3.2041666666666666,-0.13750000000000018,0.84375,0.8641313540324224,-0.06276104382178899,0.09375,0.84375,0.84375,False,negligible
mid,give_way_events,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,3.0666666666666664,0.9833333333333334,2.083333333333333,0.0078125,0.0005518172802298266,2.115131458417522,0.875,0.0234375,0.0234375,True,large
mid,give_way_events,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,3.0666666666666664,1.1791666666666667,1.8875,0.0234375,0.0089667699095247,1.2659982992593746,0.8125,0.046875,0.03515625,True,large
mid,success_rate,RuleBased_vs_RuleBased,DQN_vs_DQN,8,48.33333333333333,26.875,21.458333333333336,0.0078125,0.001656505857551592,1.7500412400287564,0.8125,0.0234375,0.01171875,True,large
mid,success_rate,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,48.33333333333333,19.791666666666664,28.541666666666668,0.015625,0.0035737280194840346,1.5197048670243658,0.9375,0.0234375,0.015625,True,large
mid,success_rate,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,48.33333333333333,30.0,18.333333333333336,0.0078125,0.006117115369061867,1.368902408979448,0.703125,0.0234375,0.01171875,True,large
mid,mean_reward,RuleBased_vs_RuleBased,DQN_vs_DQN,8,-367.05941104166664,-257.6593497916667,-109.40006125000001,0.25,0.1529888335886279,-0.5667143541589016,-0.40625,0.25,0.25,False,medium
mid,mean_reward,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,-367.05941104166664,-189.97496041666665,-177.08445062500002,0.078125,0.04545549125093592,-0.8589494540560394,-0.5,0.15625,0.1171875,False,large
mid,mean_reward,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,-367.05941104166664,-132.798608125,-234.26080291666668,0.015625,0.00954086509925712,-1.249610850485863,-0.65625,0.046875,0.046875,True,large
mid,cte_mean,RuleBased_vs_RuleBased,DQN_vs_DQN,8,16.47311645833333,37.83282208333333,-21.359705624999997,0.0078125,0.0037167550524308977,-1.508429391949551,-0.84375,0.0234375,0.01171875,True,large
mid,cte_mean,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,16.47311645833333,45.000853125000006,-28.52773666666667,0.0078125,0.0015873848565155274,-1.7633682301652909,-0.9375,0.0234375,0.01171875,True,large
mid,cte_mean,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,16.47311645833333,38.77210166666666,-22.298985208333328,0.078125,0.05389407250442524,-0.8180083379897108,-0.625,0.078125,0.078125,False,large
mid,docking_accuracy,RuleBased_vs_RuleBased,DQN_vs_DQN,8,4.908056906950283,4.929479593646665,-0.021422686696381754,0.9453125,0.9546976550770787,-0.020815230390566115,-0.15625,0.9453125,0.9453125,False,negligible
mid,docking_accuracy,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,4.908056906950283,4.270262410130719,0.6377944968195642,0.0390625,0.036237829125682144,0.9137327002259137,0.625,0.1171875,0.1171875,False,large
mid,docking_accuracy,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,4.908056906950283,4.41287553514468,0.4951813718056033,0.078125,0.05879596919629993,0.7971289857368659,0.53125,0.15625,0.1171875,False,medium
mid,optimality_ratio,RuleBased_vs_RuleBased,DQN_vs_DQN,8,1.0,2.0955601772065053,-1.0955601772065051,0.0078125,4.740627821430762e-05,-3.1306953058921603,-1.0,0.0234375,0.01171875,True,large
mid,optimality_ratio,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,1.0,2.446996951500297,-1.4469969515002972,0.0078125,0.00015475092324312363,-2.6017610308124337,-1.0,0.0234375,0.01171875,True,large
mid,optimality_ratio,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,1.0,1.4839303518740032,-0.4839303518740032,0.027707849358079864,0.03508288232338006,-0.9215972672181046,-0.75,0.027707849358079864,0.027707849358079864,True,large
harsh,vessel_collision_rate,RuleBased_vs_RuleBased,DQN_vs_DQN,8,37.916666666666664,24.583333333333332,13.333333333333332,0.0234375,0.009627924725379822,1.247219128924647,0.65625,0.0703125,0.0703125,False,large
harsh,vessel_collision_rate,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,37.916666666666664,29.58333333333333,8.333333333333334,0.17629637444051116,0.16041454690929682,0.5550662947336074,0.46875,0.17629637444051116,0.17629637444051116,False,medium
harsh,vessel_collision_rate,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,37.916666666666664,25.833333333333332,12.083333333333332,0.0546875,0.05550602704909637,0.8109367480229346,0.578125,0.109375,0.08203125,False,large
harsh,vessel_collisions_per_ep,RuleBased_vs_RuleBased,DQN_vs_DQN,8,0.9458333333333333,0.5583333333333333,0.3875,0.0390625,0.04606903947234718,0.8557201026324825,0.5,0.1171875,0.08203125,False,large
harsh,vessel_collisions_per_ep,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,0.9458333333333333,0.7208333333333333,0.225,0.39802471950693785,0.23277026606875917,0.46180601380141145,0.234375,0.39802471950693785,0.3980247195069378,False,small
