agent,metric,clean_mean,harsh_mean,abs_change,wilcoxon_p,cohens_dz,effect_mag,cliffs_delta,wilcoxon_p_holm,sig_holm
RuleBased,full_cycle_success_rate,21.666666666666668,21.666666666666668,0.0,1.0,0.0,negligible,0.0,1.0,False
RuleBased,dock_success_rate,43.33333333333333,43.33333333333333,0.0,1.0,0.0,negligible,0.0,1.0,False
RuleBased,dock_accuracy,0.0,10.719502369826811,10.719502369826811,0.03125,4.391100752755261,large,1.0,0.0625,False
RuleBased,cte_mean,41.17861666666666,51.57831458333334,10.399697916666671,0.0078125,2.806830763827772,large,0.25,0.015625,True
RuleBased,iala_violations,0.0,89.6625,89.6625,0.0078125,3.349660408856117,large,1.0,0.015625,True
DQN,full_cycle_success_rate,5.416666666666667,0.8333333333333334,-4.583333333333334,0.6547208460185769,-0.2895309773697634,small,-0.015625,1.0,False
DQN,dock_success_rate,27.916666666666668,41.66666666666667,13.75,0.5001842570707944,0.277848209134283,small,0.234375,1.0,False
DQN,dock_accuracy,0.0,10.950632789968651,10.950632789968651,0.125,8.935658357756829,large,1.0,0.125,False
DQN,cte_mean,21.150883750000002,17.611789583333334,-3.5390941666666693,0.3828125,-0.09358491331767983,negligible,0.28125,0.3828125,False
DQN,iala_violations,0.0,116.22083333333335,116.22083333333335,0.0078125,4.387403378195219,large,1.0,0.015625,True
