metric,effect,F,p_value,partial_eta2
vessel_collision_rate,pairing,34.571802553884595,1.6665648726232603e-10,0.5525140900985328
vessel_collision_rate,condition,1.7991215567643124,0.17487508877631558,0.06037498633431754
vessel_collision_rate,seed,4.902993106256723,0.000229140098577388,0.37998881855398636
vessel_collision_rate,pairing:condition,1.9725995520521173,0.11122575052541603,0.12349896744257155
vessel_collisions_per_ep,pairing,12.93387038823016,2.410494777952535e-05,0.31596988668701786
vessel_collisions_per_ep,condition,6.058962576350674,0.004149017313097612,0.17789627510726944
vessel_collisions_per_ep,seed,3.7426674987235478,0.0021592823421172987,0.3187237907511546
vessel_collisions_per_ep,pairing:condition,2.6731340178892116,0.04117230938237191,0.16032582806694345
near_misses_per_ep,pairing,2.0669134029350538,0.1361247729158089,0.06874378408038676
near_misses_per_ep,condition,7.085971017695042,0.0018058716046816462,0.201960236874201
near_misses_per_ep,seed,1.6342042755344406,0.14481088426902355,0.16962524654832337
near_misses_per_ep,pairing:condition,2.5556721721998144,0.04866028187347582,0.1543683727013684
min_cpa,pairing,35.188070788972546,1.266607890705368e-10,0.5568783846319533
min_cpa,condition,0.4785068317001948,0.6222184156656735,0.016802384848616993
min_cpa,seed,10.662812504858243,1.9120067676245095e-08,0.5713400647454684
min_cpa,pairing:condition,0.5122706252508652,0.7269309423535056,0.0352991367429113
head_on_events,pairing,3.994964682844953,0.023885761653275123,0.12486229387797923
head_on_events,condition,3.4075110147562824,0.04013158351209708,0.10849350695619661
head_on_events,seed,3.3255072782312403,0.0049583149596390316,0.29362987427708415
head_on_events,pairing:condition,3.491852577103283,0.012913358397151705,0.1996273728989744
success_rate,pairing,66.61145678468503,1.5631492573483885e-15,0.7040527547977422
success_rate,condition,0.7757649174972129,0.46523494165479384,0.026958967718891325
success_rate,seed,7.182534001431637,3.981579868932273e-06,0.47307873644507303
success_rate,pairing:condition,0.5872841069691535,0.6731708675240224,0.04026000334692701
cte_mean,pairing,40.056711546918024,1.5850318181813292e-11,0.5885784169765989
cte_mean,condition,2.8685411014451314,0.06515893119090048,0.09292765382134754
cte_mean,seed,2.4178225966013662,0.030915959470206873,0.23208521494598486
cte_mean,pairing:condition,0.1561571548550399,0.9594243223552785,0.011031041344541992
