Metric,Effect,F,p-value,partial η²,Interpretation
vessel_collision_rate,Pairing,34.57,0.0000,0.553,"sig (p=0.000), large effect"
vessel_collision_rate,Condition,1.80,0.1749,0.060,"n.s. (p=0.175), medium effect"
vessel_collision_rate,Pairing×Condition,1.97,0.1112,0.123,"n.s. (p=0.111), medium effect"
vessel_collision_rate,Seed (block),4.90,0.0002,0.380,"sig (p=0.000), large effect"
min_cpa,Pairing,35.19,0.0000,0.557,"sig (p=0.000), large effect"
min_cpa,Condition,0.48,0.6222,0.017,"n.s. (p=0.622), small effect"
min_cpa,Pairing×Condition,0.51,0.7269,0.035,"n.s. (p=0.727), small effect"
min_cpa,Seed (block),10.66,0.0000,0.571,"sig (p=0.000), large effect"
head_on_events,Pairing,3.99,0.0239,0.125,"sig (p=0.024), medium effect"
head_on_events,Condition,3.41,0.0401,0.108,"sig (p=0.040), medium effect"
head_on_events,Pairing×Condition,3.49,0.0129,0.200,"sig (p=0.013), large effect"
head_on_events,Seed (block),3.33,0.0050,0.294,"sig (p=0.005), large effect"
success_rate,Pairing,66.61,0.0000,0.704,"sig (p=0.000), large effect"
success_rate,Condition,0.78,0.4652,0.027,"n.s. (p=0.465), small effect"
success_rate,Pairing×Condition,0.59,0.6732,0.040,"n.s. (p=0.673), small effect"
success_rate,Seed (block),7.18,0.0000,0.473,"sig (p=0.000), large effect"
