config_id,algorithm,noise_std,packet_error_rate,seed,env_seed,phase,episode,reward,success,steps,invalid,revisit,route_cost,optimal_cost,excess_cost,optimality_ratio,route_risk,route_difficulty,route_distance,collisions,collision_flag,cte_mean,iala_violations,dropped_frames,docking_accuracy,lane,goal_lane,start,goal,terminated,truncated
DQN_n0_p0,DQN,0,0,0,42,train,1,-220.1736,0,60,21,27,369.68,120.27,,,3.259,5.187,2334.45,0,0,33.1877,0,0,,L08,L02,L08_WP005,L02_WP022,0,1
DQN_n0_p0,DQN,0,0,0,42,train,2,-249.3959,0,60,31,17,197.34,83.57,,,1.961,3.425,1194.26,0,0,115.4401,0,0,,L02,L01,L02_WP013,L01_WP006,0,1
DQN_n0_p0,DQN,0,0,0,42,train,3,-236.3516,0,60,27,26,332.14,85.44,,,2.853,4.286,2126.59,0,0,2.0915,0,0,,L08,L08,L08_WP005,L08_WP020,0,1
DQN_n0_p0,DQN,0,0,0,42,train,4,-305.0376,0,60,42,14,160.25,82.29,,,1.469,2.237,1011.44,0,0,78.9742,0,0,,L08,L02,L08_WP012,L02_WP022,0,1
DQN_n0_p0,DQN,0,0,0,42,train,5,119.121,1,1,0,0,6.79,6.79,0,1,0.043,0.174,34.54,0,0,0,0,0,0,L08,L08,L08_WP019,L08_WP020,1,0
DQN_n0_p0,DQN,0,0,0,42,train,6,-261.1088,0,60,32,19,277.89,126.86,,,3.74,3.934,1774.71,0,0,33.0057,0,0,,L02,L01,L02_WP005,L01_WP006,0,1
DQN_n0_p0,DQN,0,0,0,42,train,7,-261.3512,0,60,35,17,225.61,73.33,,,1.965,3.074,1451.45,0,0,17.238,0,0,,L08,L08,L08_WP007,L08_WP020,0,1
DQN_n0_p0,DQN,0,0,0,42,train,8,-290.6272,0,60,45,9,76.49,47.01,,,0.631,1.817,467.27,0,0,53.4883,0,0,,L02,L08,L02_WP020,L08_WP020,0,1
DQN_n0_p0,DQN,0,0,0,42,train,9,-318.564,0,60,42,10,186.64,87.1,,,1.731,2.166,1216.05,0,0,127.7373,0,0,,L08,L02,L08_WP011,L02_WP022,0,1
DQN_n0_p0,DQN,0,0,0,42,train,10,-289.2635,0,60,44,9,149.56,63.27,,,1.268,1.981,946.07,0,0,7.7398,0,0,,L08,L08,L08_WP009,L08_WP020,0,1
DQN_n0_p0,DQN,0,0,0,42,train,11,-323.0578,0,60,49,2,74.59,22.7,,,0.938,1.492,490.25,0,0,140.868,0,0,,L02,L02,L02_WP018,L02_WP022,0,1
DQN_n0_p0,DQN,0,0,0,42,train,12,-315.9538,0,60,51,5,109.3,101.07,,,1.218,1.509,732.91,0,0,35.6378,0,0,,L02,L01,L02_WP010,L01_WP006,0,1
DQN_n0_p0,DQN,0,0,0,42,train,13,-322.475,0,60,55,3,24.75,124.68,,,0.232,0.69,152.85,0,0,0,0,0,,L02,L08,L02_WP006,L08_WP020,0,1
DQN_n0_p0,DQN,0,0,0,42,train,14,-337.46,0,60,59,0,4.6,67.87,,,0.029,0.089,33.7,0,0,0,0,0,,L08,L08,L08_WP008,L08_WP020,0,1
DQN_n0_p0,DQN,0,0,0,42,train,15,-342,0,60,60,0,0,56.07,,,0,0,0,0,0,0,0,0,,L02,L02,L02_WP012,L02_WP022,0,1
DQN_n0_p0,DQN,0,0,0,42,train,16,-332.8291,0,60,55,2,88.16,110.08,,,1.226,1.038,610.8,0,0,26.1409,0,0,,L02,L08,L02_WP009,L08_WP020,0,1
DQN_n0_p0,DQN,0,0,0,42,train,17,-340.8162,0,60,59,0,6.66,82.29,,,0.029,0.162,33.75,0,0,19.6887,0,0,,L08,L02,L08_WP012,L02_WP022,0,1
DQN_n0_p0,DQN,0,0,0,42,train,18,-337.553,0,60,59,0,5.53,61.6,,,0.04,0.126,30.51,0,0,0,0,0,,L02,L02,L02_WP011,L02_WP022,0,1
DQN_n0_p0,DQN,0,0,0,42,train,19,-123.668,0,60,1,46,306.68,95.55,,,2.43,5.428,2006.86,0,0,0,0,0,,L08,L08,L08_WP003,L08_WP020,0,1
DQN_n0_p0,DQN,0,0,0,42,train,20,-142.0223,0,60,2,52,330.16,91.93,,,3.289,7.011,1956.49,0,0,13.9383,0,0,,L08,L02,L08_WP010,L02_WP022,0,1
DQN_n0_p0,DQN,0,0,0,42,train,21,-195.4627,0,60,13,44,248.67,135.12,,,2.057,5.626,1448.06,0,0,75.1509,0,0,,L02,L08,L02_WP004,L08_WP020,0,1
DQN_n0_p0,DQN,0,0,0,42,train,22,-153.5088,0,60,0,57,309.3,54.21,,,2.295,5.287,2044.56,0,0,83.9321,0,0,,L08,L02,L08_WP017,L02_WP022,0,1
DQN_n0_p0,DQN,0,0,0,42,train,23,-130.8368,0,60,0,52,321.28,60.51,,,2.379,5.99,2076.2,0,0,13.6279,0,0,,L08,L01,L08_WP015,L01_WP006,0,1
DQN_n0_p0,DQN,0,0,0,42,train,24,90.972,1,2,0,0,36.28,36.28,0,1,0.107,0.319,232.96,1,1,0,0,0,0,L02,L08,L02_WP022,L08_WP020,1,0
DQN_n0_p0,DQN,0,0,0,42,train,25,90.487,1,6,0,0,33.13,33.13,0,1,0.354,0.93,202.8,1,1,0,0,0,0,L02,L01,L02_WP022,L01_WP006,1,0
DQN_n0_p0,DQN,0,0,0,42,train,26,-147.5512,0,60,1,56,289.36,98.84,,,3.476,6.369,1815.73,0,0,36.2931,0,0,,L02,L02,L02_WP004,L02_WP022,0,1
DQN_n0_p0,DQN,0,0,0,42,train,27,57.1365,1,27,0,14,167.69,86.72,80.97,1.9337,1.288,3.648,1003.41,1,1,4.5257,0,0,0,L02,L08,L02_WP013,L08_WP020,1,0
DQN_n0_p0,DQN,0,0,0,42,train,28,46.443,1,44,2,30,247.57,67.87,179.7,3.6477,1.835,7.663,1438.32,0,0,0,0,0,0,L08,L08,L08_WP008,L08_WP020,1,0
DQN_n0_p0,DQN,0,0,0,42,train,29,29.5328,1,34,0,24,199.94,58.98,140.96,3.39,1.582,4.478,1220.19,1,1,78.2499,0,0,0,L02,L08,L02_WP018,L08_WP020,1,0
DQN_n0_p0,DQN,0,0,0,42,train,30,-6.0514,1,60,1,40,330.46,119.77,210.69,2.7591,2.535,7.174,1981.99,1,1,26.4562,0,0,0,L02,L08,L02_WP007,L08_WP020,1,0
DQN_n0_p0,DQN,0,0,0,42,train,31,85.601,1,9,0,0,75.99,75.99,0,1,0.404,1.264,451,1,1,0,0,0,0,L02,L08,L02_WP015,L08_WP020,1,0
DQN_n0_p0,DQN,0,0,0,42,train,32,107.637,1,11,0,2,81.63,48.93,32.7,1.6683,0.569,1.564,485.13,0,0,0,0,0,0,L08,L01,L08_WP017,L01_WP006,1,0
DQN_n0_p0,DQN,0,0,0,42,train,33,47.422,1,13,1,3,114.09,42.98,71.11,2.6545,0.599,1.727,710.71,2,1,10.8333,0,0,0,L08,L01,L08_WP018,L01_WP006,1,0
DQN_n0_p0,DQN,0,0,0,42,train,34,22.091,1,52,0,34,285.09,101.07,184.02,2.8207,2.326,7.035,1612.75,1,1,0,0,0,0,L02,L01,L02_WP010,L01_WP006,1,0
DQN_n0_p0,DQN,0,0,0,42,train,35,75.727,1,17,0,4,118.73,97.88,20.85,1.213,0.85,2.347,695.6,1,1,0,0,0,0,L02,L08,L02_WP011,L08_WP020,1,0
DQN_n0_p0,DQN,0,0,0,42,train,36,89.524,1,20,3,2,94.76,81.82,12.94,1.1582,0.868,2.42,552.42,0,0,0,0,0,0,L08,L01,L08_WP011,L01_WP006,1,0
DQN_n0_p0,DQN,0,0,0,42,train,37,-167.909,0,60,2,44,719.09,108.16,,,2.46,6.429,4521.42,0,0,0,0,0,,L08,L02,L08_WP007,L02_WP022,0,1
DQN_n0_p0,DQN,0,0,0,42,train,38,70.54,1,21,0,6,142.6,110.08,32.52,1.2954,0.996,2.942,817.47,1,1,0,0,0,0,L02,L08,L02_WP009,L08_WP020,1,0
DQN_n0_p0,DQN,0,0,0,42,train,39,116.697,1,4,0,0,25.03,25.03,0,1,0.182,0.738,137.79,0,0,0,0,0,0,L08,L08,L08_WP016,L08_WP020,1,0
DQN_n0_p0,DQN,0,0,0,42,train,40,99.8741,1,16,1,3,81.03,60.51,20.52,1.3391,0.721,2.053,484.02,0,0,4.5426,0,0,0,L08,L01,L08_WP015,L01_WP006,1,0
DQN_n0_p0,DQN,0,0,0,42,train,41,105.475,1,19,0,0,107.25,107.25,0,1,0.958,2.434,646.41,0,0,0,0,0,0,L08,L08,L08_WP001,L08_WP020,1,0
DQN_n0_p0,DQN,0,0,0,42,train,42,103.633,1,22,0,0,119.67,119.67,0,1,1.139,2.917,719.88,0,0,0,0,0,0,L08,L01,L08_WP004,L01_WP006,1,0
DQN_n0_p0,DQN,0,0,0,42,train,43,50.859,1,42,1,32,237.41,48.93,188.48,4.852,2.387,5.77,1380.82,0,0,0,0,0,0,L08,L01,L08_WP017,L01_WP006,1,0
DQN_n0_p0,DQN,0,0,0,42,train,44,-147.1842,0,60,0,56,287.78,130.01,,,3.702,6.273,1845.92,0,0,56.9439,0,0,,L02,L08,L02_WP005,L08_WP020,0,1
DQN_n0_p0,DQN,0,0,0,42,train,45,111.473,1,11,0,0,63.27,63.27,0,1,0.561,1.559,374.97,0,0,0,0,0,0,L08,L08,L08_WP009,L08_WP020,1,0
DQN_n0_p0,DQN,0,0,0,42,train,46,100.275,1,20,1,0,107.25,107.25,0,1,0.958,2.434,646.41,0,0,0,0,0,0,L08,L08,L08_WP001,L08_WP020,1,0
DQN_n0_p0,DQN,0,0,0,42,train,47,119.272,1,1,0,0,5.28,5.28,0,1,0.06,0.074,31.36,0,0,0,0,0,0,L02,L02,L02_WP021,L02_WP022,1,0
DQN_n0_p0,DQN,0,0,0,42,train,48,118.257,1,2,0,0,13.43,13.43,0,1,0.096,0.394,69.04,0,0,0,0,0,0,L08,L08,L08_WP018,L08_WP020,1,0
DQN_n0_p0,DQN,0,0,0,42,train,49,110.316,1,13,0,0,70.84,70.84,0,1,0.675,1.895,415.76,0,0,0,0,0,0,L08,L01,L08_WP013,L01_WP006,1,0
DQN_n0_p0,DQN,0,0,0,42,train,50,94.076,1,26,1,2,137.24,125.1,12.14,1.097,1.321,3.281,821.82,0,0,0,0,0,0,L08,L01,L08_WP003,L01_WP006,1,0
DQN_n0_p0,DQN,0,0,0,42,train,51,119.272,1,1,0,0,5.28,5.28,0,1,0.06,0.074,31.36,0,0,0,0,0,0,L02,L02,L02_WP021,L02_WP022,1,0
DQN_n0_p0,DQN,0,0,0,42,train,52,83.365,1,12,0,0,92.35,92.35,0,1,0.614,1.707,542.94,1,1,0,0,0,0,L02,L08,L02_WP012,L08_WP020,1,0
