algorithm,noise_std,packet_error_rate,metric,shapiro_W,p_value,normal
DQN,0.0,0.0,success_rate,0.9072571151823494,0.418598649969667,True
DQN,0.0,0.0,mean_reward,0.9138995995746892,0.46254371189184523,True
DQN,0.0,0.0,collision_rate,0.7020890545186107,0.006502584634250799,False
DQN,0.0,0.0,collisions_per_ep,0.7020890545186109,0.006502584634250842,False
DQN,0.0,0.0,iala_violations,,,
DQN,0.0,0.0,cte_mean,0.7629647366333824,0.026601065841649795,False
DQN,0.0,0.0,docking_accuracy,,,
DQN,0.0,0.0,dropped_frames,,,
DQN,0.0,0.0,optimality_ratio,0.552181683501241,0.00013097817774592973,False
DQN,0.0,0.2,success_rate,0.7623691726499078,0.026253414384870864,False
DQN,0.0,0.2,mean_reward,0.7041161528145862,0.006828943917588042,False
DQN,0.0,0.2,collision_rate,0.9574160074296822,0.7996210158231241,True
DQN,0.0,0.2,collisions_per_ep,0.89291156864812,0.33372517617055286,True
DQN,0.0,0.2,iala_violations,0.9244371571305148,0.5378774001582742,True
DQN,0.0,0.2,cte_mean,0.9492722179723211,0.734383937076899,True
DQN,0.0,0.2,docking_accuracy,0.8856719656269243,0.3412454427336489,True
DQN,0.0,0.2,dropped_frames,0.8136097763186836,0.07763706100513719,True
DQN,0.0,0.2,optimality_ratio,0.7929074082782123,0.09767623238780287,True
DQN,0.0,0.4,success_rate,0.8127825535879705,0.07635050359437616,True
DQN,0.0,0.4,mean_reward,0.8497881673407093,0.15678601939455478,True
DQN,0.0,0.4,collision_rate,0.9273649536944821,0.5599119116612601,True
DQN,0.0,0.4,collisions_per_ep,0.7438895889675073,0.01734633130296141,False
DQN,0.0,0.4,iala_violations,0.8935499091266447,0.3372072868853101,True
DQN,0.0,0.4,cte_mean,0.9165337946666428,0.48075315698980026,True
DQN,0.0,0.4,docking_accuracy,0.9373172952140861,0.6470391150468793,True
DQN,0.0,0.4,dropped_frames,0.8565631949894061,0.17768344311800366,True
DQN,0.0,0.4,optimality_ratio,0.844854428313689,0.17879405172392226,True
DQN,0.1,0.0,success_rate,0.8990244693848752,0.36819580260358786,True
DQN,0.1,0.0,mean_reward,0.9628637382743002,0.8415167427341192,True
DQN,0.1,0.0,collision_rate,0.8532368277267937,0.16714235350024848,True
DQN,0.1,0.0,collisions_per_ep,0.849452386859608,0.15580794715370394,True
DQN,0.1,0.0,iala_violations,0.9647586149620636,0.855555727561153,True
DQN,0.1,0.0,cte_mean,0.7940696059291257,0.05194462339194631,True
DQN,0.1,0.0,docking_accuracy,0.9565940866460726,0.7931448243747832,True
DQN,0.1,0.0,dropped_frames,,,
DQN,0.1,0.0,optimality_ratio,0.6606498454721246,0.0023165513323856936,False
DQN,0.1,0.2,success_rate,0.9222331932994156,0.5215887653018183,True
DQN,0.1,0.2,mean_reward,0.9728564810414192,0.9110440176797854,True
DQN,0.1,0.2,collision_rate,0.9802940846716645,0.9530101401994407,True
DQN,0.1,0.2,collisions_per_ep,0.9417057868341814,0.6729717214730672,True
DQN,0.1,0.2,iala_violations,0.9094426865323757,0.43274003114645837,True
