metric,algo_a,algo_b,n,mean_diff,wilcoxon_p,cohens_dz,cliffs_delta,wilcoxon_p_holm,wilcoxon_p_bh,sig_holm,effect_mag
success_rate,DQN,DoubleDQN,6,14.444444444444448,0.13801073756865956,0.7359800721939876,0.4722222222222222,0.6900536878432978,0.3125,False,medium
success_rate,DQN,DuelingDQN,6,13.888888888888886,0.15625,0.7256901692684242,0.4444444444444444,0.6900536878432978,0.3125,False,medium
success_rate,DQN,DuelingDoubleDQN,6,9.444444444444445,0.09375,0.9680365087282959,0.2777777777777778,0.5625,0.3125,False,large
success_rate,DoubleDQN,DuelingDQN,6,-0.5555555555555589,0.84375,-0.02616761177064592,-0.05555555555555555,1.0,0.84375,False,negligible
success_rate,DoubleDQN,DuelingDoubleDQN,6,-5.0,0.84375,-0.20355948538055849,-0.16666666666666666,1.0,0.84375,False,small
success_rate,DuelingDQN,DuelingDoubleDQN,6,-4.444444444444441,0.34523107177184,-0.296174438879546,-0.1388888888888889,1.0,0.5178466076577599,False,small
mean_reward,DQN,DoubleDQN,6,21.432886111111117,0.4375,0.5783394154389356,0.2777777777777778,1.0,0.65625,False,medium
mean_reward,DQN,DuelingDQN,6,25.4995488888889,0.3125,0.5263731458329295,0.3333333333333333,1.0,0.65625,False,medium
mean_reward,DQN,DuelingDoubleDQN,6,28.211492777777778,0.09375,0.8650510646119456,0.3888888888888889,0.5625,0.5625,False,large
mean_reward,DoubleDQN,DuelingDQN,6,4.066662777777782,1.0,0.07824715477434929,0.1111111111111111,1.0,1.0,False,negligible
mean_reward,DoubleDQN,DuelingDoubleDQN,6,6.778606666666661,1.0,0.12586269941193015,0.1111111111111111,1.0,1.0,False,negligible
mean_reward,DuelingDQN,DuelingDoubleDQN,6,2.711943888888881,0.4375,0.09159488351886182,0.16666666666666666,1.0,0.65625,False,negligible
collision_rate,DQN,DoubleDQN,6,13.333333333333334,0.07961580146011343,0.6488856845230504,0.5,0.375,0.15923160292022687,False,medium
collision_rate,DQN,DuelingDQN,6,6.666666666666664,0.13801073756865956,0.6593804733957868,0.1388888888888889,0.4140322127059787,0.20701610635298934,False,medium
collision_rate,DQN,DuelingDoubleDQN,6,-2.7777777777777786,0.5001842570707944,-0.31572301267670094,-0.2222222222222222,1.0,0.5001842570707944,False,small
collision_rate,DoubleDQN,DuelingDQN,6,-6.666666666666667,0.5001842570707944,-0.3834824944236852,-0.3888888888888889,1.0,0.5001842570707944,False,small
collision_rate,DoubleDQN,DuelingDoubleDQN,6,-16.11111111111111,0.0625,-0.7992894139826768,-0.6666666666666666,0.375,0.15923160292022687,False,medium
collision_rate,DuelingDQN,DuelingDoubleDQN,6,-9.444444444444443,0.06559969214707187,-1.0734582431007833,-0.3333333333333333,0.375,0.15923160292022687,False,large
collisions_per_ep,DQN,DoubleDQN,6,0.4666666666666666,0.043114446783075355,0.8278373543847155,0.5833333333333334,0.21557223391537678,0.09375,False,large
collisions_per_ep,DQN,DuelingDQN,6,0.22222222222222218,0.03125,1.2720546282869614,0.3333333333333333,0.1875,0.09375,False,large
collisions_per_ep,DQN,DuelingDoubleDQN,6,-0.388888888888889,0.15625,-0.77835455040267,-0.3333333333333333,0.3125,0.1875,False,medium
collisions_per_ep,DoubleDQN,DuelingDQN,6,-0.24444444444444446,0.84375,-0.4025497947050632,-0.3611111111111111,0.84375,0.84375,False,small
collisions_per_ep,DoubleDQN,DuelingDoubleDQN,6,-0.8555555555555556,0.0625,-0.9866930720293948,-0.7222222222222222,0.25,0.09375,False,large
collisions_per_ep,DuelingDQN,DuelingDoubleDQN,6,-0.6111111111111112,0.0625,-1.497576135735686,-0.5555555555555556,0.25,0.09375,False,large
iala_violations,DQN,DoubleDQN,6,-10.427777777777775,0.09375,-0.821926788970119,-0.4444444444444444,0.5625,0.4375,False,large
iala_violations,DQN,DuelingDQN,6,-8.755555555555553,0.21875,-0.6762704421164303,-0.3333333333333333,1.0,0.4375,False,medium
iala_violations,DQN,DuelingDoubleDQN,6,-3.9333333333333322,0.4375,-0.4774816317216915,-0.16666666666666666,1.0,0.525,False,small
iala_violations,DoubleDQN,DuelingDQN,6,1.6722222222222218,0.5625,0.11447200984363602,0.05555555555555555,1.0,0.5625,False,negligible
iala_violations,DoubleDQN,DuelingDoubleDQN,6,6.494444444444443,0.4375,0.3556899016315164,0.2777777777777778,1.0,0.525,False,small
iala_violations,DuelingDQN,DuelingDoubleDQN,6,4.82222222222222,0.21875,0.46999763499629604,0.2222222222222222,1.0,0.4375,False,small
cte_mean,DQN,DoubleDQN,6,-15.922307222222223,0.15625,-0.7855838807260569,-0.7777777777777778,0.78125,0.46875,False,medium
cte_mean,DQN,DuelingDQN,6,-17.80248222222222,0.3125,-0.5017797019185867,-0.3333333333333333,1.0,0.625,False,medium
cte_mean,DQN,DuelingDoubleDQN,6,-7.966143888888891,0.09375,-0.9173042994946446,-0.5555555555555556,0.5625,0.46875,False,large
cte_mean,DoubleDQN,DuelingDQN,6,-1.8801749999999984,0.5625,-0.08551586016583046,0.1111111111111111,1.0,0.6875,False,negligible
cte_mean,DoubleDQN,DuelingDoubleDQN,6,7.956163333333332,0.6875,0.30676799793035237,0.1111111111111111,1.0,0.6875,False,small
cte_mean,DuelingDQN,DuelingDoubleDQN,6,9.83633833333333,0.6875,0.2615905629925783,0.16666666666666666,1.0,0.6875,False,small
docking_accuracy,DQN,DoubleDQN,5,-1.8611414898989906,0.1875,-0.7691307028568267,-0.52,1.0,0.875,False,medium
docking_accuracy,DQN,DuelingDQN,6,-1.1646232792670288,0.4375,-0.31404530489828836,-0.16666666666666666,1.0,0.875,False,small
docking_accuracy,DQN,DuelingDoubleDQN,6,-0.6638686858049346,0.3125,-0.33170305851183635,-0.16666666666666666,1.0,0.875,False,small
docking_accuracy,DoubleDQN,DuelingDQN,5,-0.6048464452214445,0.8125,-0.1427842816486575,-0.12,1.0,0.975,False,negligible
docking_accuracy,DoubleDQN,DuelingDoubleDQN,5,0.7210999760239772,0.625,0.42850290042752387,0.04,1.0,0.9375,False,small
docking_accuracy,DuelingDQN,DuelingDoubleDQN,6,0.5007545934620942,1.0,0.12788480856495657,0.05555555555555555,1.0,1.0,False,negligible
dropped_frames,DQN,DoubleDQN,6,-1.761111111111111,0.21875,-0.6381243810416896,-0.4444444444444444,1.0,0.825,False,medium
dropped_frames,DQN,DuelingDQN,6,-1.3999999999999992,0.5625,-0.4601789933084221,-0.3888888888888889,1.0,0.825,False,small
dropped_frames,DQN,DuelingDoubleDQN,6,-0.5777777777777784,0.6875,-0.22591619595619766,-0.05555555555555555,1.0,0.825,False,small
dropped_frames,DoubleDQN,DuelingDQN,6,0.3611111111111119,0.5625,0.09789853871114039,0.1111111111111111,1.0,0.825,False,negligible
dropped_frames,DoubleDQN,DuelingDoubleDQN,6,1.1833333333333327,0.84375,0.25695038781751106,0.16666666666666666,1.0,0.84375,False,small
dropped_frames,DuelingDQN,DuelingDoubleDQN,6,0.8222222222222207,0.4375,0.3561563528777191,0.1388888888888889,1.0,0.825,False,small
optimality_ratio,DQN,DoubleDQN,5,-0.14996080808080822,0.8125,-0.06610892438638237,-0.2,1.0,1.0,False,negligible
optimality_ratio,DQN,DuelingDQN,6,1.0639083245458243,0.5625,0.3708899168629838,0.2222222222222222,1.0,1.0,False,small
optimality_ratio,DQN,DuelingDoubleDQN,6,0.8474465726865725,1.0,0.29621294091066985,0.05555555555555555,1.0,1.0,False,small
optimality_ratio,DoubleDQN,DuelingDQN,5,1.6986222261072261,0.1875,0.7917477160277848,0.6,1.0,1.0,False,medium
optimality_ratio,DoubleDQN,DuelingDoubleDQN,5,1.1755326693306696,0.4375,0.4508639784021666,0.52,1.0,1.0,False,small
optimality_ratio,DuelingDQN,DuelingDoubleDQN,6,-0.21646175185925168,1.0,-0.1526997649777964,0.05555555555555555,1.0,1.0,False,negligible
