Algorithm,Metric,Clean,Worst,Δ,Cohen d_z,Effect,Interpretation
DQN,Collision %,2.78,43.89,+41.11,3.10,large,"2.8→43.9 (d_z=3.10, large); not Holm-sig (adj p=0.125, n=6 power-limited)"
DQN,IALA/ep,0.00,54.49,+54.49,4.24,large,"0.0→54.5 (d_z=4.24, large); not Holm-sig (adj p=0.125, n=6 power-limited)"
DQN,Docking err,0.00,9.72,+10.32,5.94,large,"0.0→9.7 (d_z=5.94, large); not Holm-sig (adj p=0.125, n=6 power-limited)"
DQN,CTE,28.26,27.72,-0.54,-0.02,negligible,"28.3→27.7 (d_z=-0.02, negligible); not Holm-sig (adj p=1.000, n=6 power-limited)"
DQN,Success %,17.22,36.67,+19.44,1.45,large,"17.2→36.7 (d_z=1.45, large); not Holm-sig (adj p=0.250, n=6 power-limited)"
Double DQN,Collision %,10.56,30.56,+20.00,1.52,large,"10.6→30.6 (d_z=1.52, large); not Holm-sig (adj p=0.125, n=6 power-limited)"
Double DQN,IALA/ep,0.00,64.92,+64.92,4.78,large,"0.0→64.9 (d_z=4.78, large); not Holm-sig (adj p=0.125, n=6 power-limited)"
Double DQN,Docking err,0.00,11.05,+11.05,4.53,large,"0.0→11.1 (d_z=4.53, large); not Holm-sig (adj p=0.125, n=6 power-limited)"
Double DQN,CTE,43.25,43.64,+0.39,0.01,negligible,"43.2→43.6 (d_z=0.01, negligible); not Holm-sig (adj p=1.000, n=6 power-limited)"
Double DQN,Success %,25.56,22.22,-3.33,-0.12,negligible,"25.6→22.2 (d_z=-0.12, negligible); not Holm-sig (adj p=1.000, n=6 power-limited)"
Dueling DQN,Collision %,18.89,37.22,+18.33,1.08,large,"18.9→37.2 (d_z=1.08, large); not Holm-sig (adj p=0.125, n=6 power-limited)"
Dueling DQN,IALA/ep,0.00,63.24,+63.24,5.49,large,"0.0→63.2 (d_z=5.49, large); not Holm-sig (adj p=0.125, n=6 power-limited)"
Dueling DQN,Docking err,0.00,10.88,+10.88,2.83,large,"0.0→10.9 (d_z=2.83, large); not Holm-sig (adj p=0.125, n=6 power-limited)"
Dueling DQN,CTE,14.97,45.52,+30.55,0.80,large,"15.0→45.5 (d_z=0.80, large); not Holm-sig (adj p=0.375, n=6 power-limited)"
Dueling DQN,Success %,41.67,22.78,-18.89,-0.72,medium,"41.7→22.8 (d_z=-0.72, medium); not Holm-sig (adj p=0.656, n=6 power-limited)"
Dueling Double DQN,Collision %,6.67,46.67,+40.00,2.24,large,"6.7→46.7 (d_z=2.24, large); not Holm-sig (adj p=0.125, n=6 power-limited)"
Dueling Double DQN,IALA/ep,0.00,58.42,+58.42,4.12,large,"0.0→58.4 (d_z=4.12, large); not Holm-sig (adj p=0.125, n=6 power-limited)"
Dueling Double DQN,Docking err,0.00,10.38,+10.38,5.97,large,"0.0→10.4 (d_z=5.97, large); not Holm-sig (adj p=0.125, n=6 power-limited)"
Dueling Double DQN,CTE,20.92,35.69,+14.77,0.89,large,"20.9→35.7 (d_z=0.89, large); not Holm-sig (adj p=0.375, n=6 power-limited)"
Dueling Double DQN,Success %,23.33,27.22,+3.89,0.32,small,"23.3→27.2 (d_z=0.32, small); not Holm-sig (adj p=1.000, n=6 power-limited)"
